property_id,transaction_id,address,zipcode,ypred,list,url,lat,long
1498006,22423759,"17772 W Young St, Surprise, AZ 85388 ",85388,0.5200899839401245,228500,https://www.zillow.com/homedetails/17772-W-Young-St-Surprise-AZ-85388/71609602_zpid/,33.6349,-112.441
7413674,22466297,"17604 W Copper Ridge Dr, Goodyear, AZ 85338 ",85338,0.5200815796852112,315000,https://www.zillow.com/homedetails/17604-W-Copper-Ridge-Dr-Goodyear-AZ-85338/8286129_zpid/,33.346,-112.428
8979156,22510068,"12234 S 176th Ave, Goodyear, AZ 85338 ",85338,0.5200815796852112,269900,https://www.zillow.com/homedetails/12234-S-176th-Ave-Goodyear-AZ-85338/55281639_zpid/,33.3354,-112.429
7451011,22353512,"17530 W Lavender Ln, Goodyear, AZ 85338 ",85338,0.5200815796852112,239000,https://www.zillow.com/homedetails/17530-W-Lavender-Ln-Goodyear-AZ-85338/60991883_zpid/,33.3249,-112.426
1854516,22597380,"11841 S 174th Ave, Goodyear, AZ 85338 ",85338,0.5200815796852112,235000,https://www.zillow.com/homedetails/11841-S-174th-Ave-Goodyear-AZ-85338/55281608_zpid/,33.3389,-112.42399999999999
1326059,22584484,"986 E Blue Spruce Ln, Gilbert, AZ 85298 ",85298,0.5200806856155396,369900,https://www.zillow.com/homedetails/986-E-Blue-Spruce-Ln-Gilbert-AZ-85298/71617035_zpid/,33.2492,-111.76899999999999
997282,22597925,"2072 E Jade Dr, Chandler, AZ 85286 ",85286,0.5200806856155396,376000,https://www.zillow.com/homedetails/2072-E-Jade-Dr-Chandler-AZ-85286/71622192_zpid/,33.2541,-111.805
8975730,22350611,"2042 E Carla Vista Dr, Chandler, AZ 85225 ",85225,0.5200806856155396,325000,https://www.zillow.com/homedetails/2042-E-Carla-Vista-Dr-Chandler-AZ-85225/55279878_zpid/,33.3115,-111.806
1251094,22543292,"104 E Elgin St, Gilbert, AZ 85295 ",85295,0.5200806856155396,375500,https://www.zillow.com/homedetails/104-E-Elgin-St-Gilbert-AZ-85295/52433618_zpid/,33.2982,-111.788
1006722,22502440,"3367 E Bluejay Dr, Chandler, AZ 85286 ",85286,0.5200806856155396,324900,https://www.zillow.com/homedetails/3367-E-Bluejay-Dr-Chandler-AZ-85286/60988706_zpid/,33.2636,-111.78299999999999
8975172,22345142,"121 E Bluejay Dr, Chandler, AZ 85286 ",85286,0.5200806856155396,350000,https://www.zillow.com/homedetails/121-E-Bluejay-Dr-Chandler-AZ-85286/2093443394_zpid/,33.2636,-111.78299999999999
1008396,22570818,"3820 S Nash Way, Chandler, AZ 85286 ",85286,0.5200806856155396,389200,https://www.zillow.com/homedetails/3820-S-Nash-Way-Chandler-AZ-85286/95114712_zpid/,33.2523,-111.79799999999999
1007621,22524353,"3630 S Velero St, Chandler, AZ 85286 ",85286,0.5200806856155396,399900,https://www.zillow.com/homedetails/3630-S-Velero-St-Chandler-AZ-85286/60049968_zpid/,33.2534,-111.815
1304890,22542050,"1284 E Walnut Rd, Gilbert, AZ 85298 ",85298,0.5200806856155396,325000,https://www.zillow.com/homedetails/1284-E-Walnut-Rd-Gilbert-AZ-85298/67793315_zpid/,33.2609,-111.762
1304966,22443230,"1333 E Walnut Rd, Gilbert, AZ 85298 ",85298,0.5200806856155396,329900,https://www.zillow.com/homedetails/1333-E-Walnut-Rd-Gilbert-AZ-85298/67793326_zpid/,33.2604,-111.76100000000001
1002556,22499764,"2550 E Iris Dr, Chandler, AZ 85286 ",85286,0.5200806856155396,394900,https://www.zillow.com/homedetails/2550-E-Iris-Dr-Chandler-AZ-85286/95093841_zpid/,33.2514,-111.79700000000001
1005794,22472551,"3126 S Halsted Dr, Chandler, AZ 85286 ",85286,0.5200806856155396,355000,https://www.zillow.com/homedetails/3126-S-Halsted-Dr-Chandler-AZ-85286/67776787_zpid/,33.2605,-111.8
1325703,22433497,"829 E Tekoa Ave, Gilbert, AZ 85298 ",85298,0.5200806856155396,354900,https://www.zillow.com/homedetails/829-E-Tekoa-Ave-Gilbert-AZ-85298/121423704_zpid/,33.2591,-111.772
1037884,22604629,"4010 S Big Horn Pl, Chandler, AZ 85249 ",85249,0.5200806856155396,380000,https://www.zillow.com/homedetails/4010-S-Big-Horn-Pl-Chandler-AZ-85249/82824776_zpid/,33.2482,-111.774
1006717,22499798,"3364 E Hawk Pl, Chandler, AZ 85286 ",85286,0.5200806856155396,323900,https://www.zillow.com/homedetails/3364-E-Hawk-Pl-Chandler-AZ-85286/60988786_zpid/,33.2646,-111.78299999999999
1008604,22604628,"3907 S Soho Ln, Chandler, AZ 85286 ",85286,0.5200806856155396,354900,https://www.zillow.com/homedetails/3907-S-Soho-Ln-Chandler-AZ-85286/59879691_zpid/,33.2492,-111.807
1228952,22573303,"3774 E Bruce Ct, Gilbert, AZ 85234 ",85234,0.5200806856155396,354000,https://www.zillow.com/homedetails/3774-E-Bruce-Ct-Gilbert-AZ-85234/49942733_zpid/,33.353,-111.709
1274992,22489440,"897 E Julian Dr, Gilbert, AZ 85295 ",85295,0.5200806856155396,399999,https://www.zillow.com/homedetails/897-E-Julian-Dr-Gilbert-AZ-85295/60050512_zpid/,33.2933,-111.771
1035030,22532704,"3353 E Canyon Way, Chandler, AZ 85249 ",85249,0.5200806856155396,399999,https://www.zillow.com/homedetails/3353-E-Canyon-Way-Chandler-AZ-85249/67766833_zpid/,33.2396,-111.78399999999999
1006401,22575821,"3301 E Canary Way, Chandler, AZ 85286 ",85286,0.5200806856155396,315000,https://www.zillow.com/homedetails/3301-E-Canary-Way-Chandler-AZ-85286/60988820_zpid/,33.2662,-111.78399999999999
1306987,22603917,"2222 E Galileo Dr, Gilbert, AZ 85298 ",85298,0.5200806856155396,365000,https://www.zillow.com/homedetails/2222-E-Galileo-Dr-Gilbert-AZ-85298/94882771_zpid/,33.2127,-111.742
1007554,22472549,"3615 S Marion Way, Chandler, AZ 85286 ",85286,0.5200806856155396,399999,https://www.zillow.com/homedetails/3615-S-Marion-Way-Chandler-AZ-85286/60049944_zpid/,33.2537,-111.81200000000001
