property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
319613,23916667,"2242 N 18TH St, Phoenix, AZ 85006 ",85006,0.740245521068573,228000,https://www.zillow.com/homedetails/2242-N-18TH-St-Phoenix-AZ-85006/7532044_zpid/,33.4727,-112.044,6641,2018-03-08
552417,23918798,"1225 N 48TH St, Phoenix, AZ 85008 ",85008,0.739737868309021,225000,https://www.zillow.com/homedetails/1225-N-48TH-St-Phoenix-AZ-85008/7559517_zpid/,33.4617,-111.978,6632,2018-02-27
417007,23882394,"4643 W Mountain View Rd, Glendale, AZ 85302 ",85302,0.739448070526123,210000,https://www.zillow.com/homedetails/4643-W-Mountain-View-Rd-Glendale-AZ-85302/7729601_zpid/,33.5745,-112.16,6613,2018-02-08
8999939,23873450,"1334 W Utopia Rd, Phoenix, AZ 85027 ",85027,0.7392749190330505,242900,https://www.zillow.com/homedetails/1334-W-Utopia-Rd-Phoenix-AZ-85027/7971426_zpid/,33.6619,-112.089,6611,2018-02-06
327214,23888254,"2011 W Earll Dr, Phoenix, AZ 85015 ",85015,0.7391800582408905,238900,https://www.zillow.com/homedetails/2011-W-Earll-Dr-Phoenix-AZ-85015/7517879_zpid/,33.4845,-112.103,6622,2018-02-17
9029090,23901746,"2331 W Comstock Dr, Chandler, AZ 85224 ",85224,0.739014208316803,245000,https://www.zillow.com/homedetails/2331-W-Comstock-Dr-Chandler-AZ-85224/8201985_zpid/,33.3471,-111.882,6625,2018-02-20
9023675,23873926,"2433 W Willow Ave, Phoenix, AZ 85029 ",85029,0.73891282081604,165000,https://www.zillow.com/homedetails/2433-W-Willow-Ave-Phoenix-AZ-85029/7738215_zpid/,33.6075,-112.11200000000001,6612,2018-02-07
384614,23864029,"13636 N 18TH Dr, Phoenix, AZ 85029 ",85029,0.737689197063446,189500,https://www.zillow.com/homedetails/13636-N-18th-Dr-Phoenix-AZ-85029/7784603_zpid/,33.6108,-112.09899999999999,6583,2018-01-09
350177,22541766,"6408 W Cordes Rd, Phoenix, AZ 85043 ",85043,0.7370584905147552,169900,https://www.zillow.com/homedetails/6408-W-Cordes-Rd-Phoenix-AZ-85043/49641248_zpid/,33.4216,-112.197,6442,2017-08-21
222670,23871974,"1018 W Anderson Dr, Phoenix, AZ 85023 ",85023,0.7370240390300751,198000,https://www.zillow.com/homedetails/1018-W-Anderson-Dr-Phoenix-AZ-85023/7963545_zpid/,33.6432,-112.087,6603,2018-01-29
