property_id,transaction_id,address,zipcode,ypred,list,url
7385674,22279742,"16547 W Lincoln St, Goodyear, AZ 85338 ",85338,0.5930836796760559,285000,https://www.zillow.com/homedetails/16547-W-Lincoln-St-Goodyear-AZ-85338/81988638_zpid/
863664,22066342,"11855 W Hadley St, Avondale, AZ 85323 ",85323,0.5929699540138245,289000,https://www.zillow.com/homedetails/11855-W-Hadley-St-Avondale-AZ-85323/60993436_zpid/
7550648,22081876,"10504 E Dolphin Ave, Mesa, AZ 85208 ",85208,0.5928325653076172,299900,https://www.zillow.com/homedetails/10504-E-Dolphin-Ave-Mesa-AZ-85208/52429516_zpid/
7376285,22217726,"5518 W Glass Ln, Laveen, AZ 85339 ",85339,0.5926356911659241,285995,https://www.zillow.com/homedetails/5518-W-Glass-Ln-Laveen-AZ-85339/60976095_zpid/
195547,22269772,"3223 W Lynne Ln, Phoenix, AZ 85041 ",85041,0.5924798250198364,269900,https://www.zillow.com/homedetails/3223-W-Lynne-Ln-Phoenix-AZ-85041/67789638_zpid/
1628453,21965066,"9730 N 182nd Ln, Waddell, AZ 85355 ",85355,0.5924607515335083,283900,https://www.zillow.com/homedetails/9730-N-182nd-Ln-Waddell-AZ-85355/92692234_zpid/
526021,22126947,"9311 W Hazelwood St, Phoenix, AZ 85037 ",85037,0.5921517610549927,299997,https://www.zillow.com/homedetails/9311-W-Hazelwood-St-Phoenix-AZ-85037/7466357_zpid/
1502426,21995589,"18409 W Port Au Prince Ln, Surprise, AZ 85388 ",85388,0.5919635891914368,299900,https://www.zillow.com/homedetails/18409-W-Port-Au-Prince-Ln-Surprise-AZ-85388/67779038_zpid/
7476069,21928714,"15246 W Calavar Rd, Surprise, AZ 85379 ",85379,0.5919635891914368,287800,https://www.zillow.com/homedetails/15246-W-Calavar-Rd-Surprise-AZ-85379/67784488_zpid/
8959130,21926438,"14121 W Dahlia Dr, Surprise, AZ 85379 ",85379,0.5919635891914368,299000,https://www.zillow.com/homedetails/14121-W-Dahlia-Dr-Surprise-AZ-85379/71609414_zpid/
8962997,21940553,"15209 W Cortez St, Surprise, AZ 85379 ",85379,0.5919635891914368,305000,https://www.zillow.com/homedetails/15209-W-Cortez-St-Surprise-AZ-85379/60965093_zpid/
921708,22066610,"22777 W Hopi St, Buckeye, AZ 85326 ",85326,0.5916099548339844,250000,https://www.zillow.com/homedetails/22777-W-Hopi-St-Buckeye-AZ-85326/67796875_zpid/
202227,22346628,"7730 S 20th Dr, Phoenix, AZ 85041 ",85041,0.5914081931114197,269000,https://www.zillow.com/homedetails/7730-S-20th-Dr-Phoenix-AZ-85041/60984153_zpid/
8948290,21926693,"14216 W Boca Raton Rd, Surprise, AZ 85379 ",85379,0.5912940502166748,249900,https://www.zillow.com/homedetails/14216-W-Boca-Raton-Rd-Surprise-AZ-85379/67781119_zpid/
7399929,22070550,"4450 S Brice, Mesa, AZ 85212 ",85212,0.591181218624115,264800,https://www.zillow.com/homedetails/4450-S-Brice-Mesa-AZ-85212/71617144_zpid/
639482,22217776,"9808 S 46th Ln, Laveen, AZ 85339 ",85339,0.5909295678138733,306400,https://www.zillow.com/homedetails/9808-S-46th-Ln-Laveen-AZ-85339/67771798_zpid/
7459480,22329127,"375 S 173rd Dr, Goodyear, AZ 85338 ",85338,0.5907731056213379,254000,https://www.zillow.com/homedetails/375-S-173rd-Dr-Goodyear-AZ-85338/81968884_zpid/
8946433,21898138,"16934 W Hilton Ave, Goodyear, AZ 85338 ",85338,0.5907559990882874,304750,https://www.zillow.com/homedetails/16934-W-Hilton-Ave-Goodyear-AZ-85338/95144790_zpid/
8853030,21897584,"16139 W Hualapai St, Goodyear, AZ 85338 ",85338,0.5907559990882874,309900,https://www.zillow.com/homedetails/16139-W-Hualapai-St-Goodyear-AZ-85338/95119016_zpid/
8959376,21816233,"17383 W Jackson St, Goodyear, AZ 85338 ",85338,0.5907559990882874,289900,https://www.zillow.com/homedetails/17383-W-Jackson-St-Goodyear-AZ-85338/71624671_zpid/
