,address,ypred,list,gain-loss,gain-loss%,url
3733794,"5449 Desert Spring Rd, Las Vegas, NV 89149 ",324732.21875,325000,-267.78125,-0.000823942307692338,https://www.zillow.com/homedetails/5449-Desert-Spring-Rd-Las-Vegas-NV-89149/6900139_zpid/
7481252,"4476 Bingham Ave, Las Vegas, NV 89110 ",99625.9921875,99900,-274.0078125,-0.002742820945945912,https://www.zillow.com/homedetails/4476-Bingham-Ave-Las-Vegas-NV-89110/7032875_zpid/
7441987,"135 S 224TH Ave, Buckeye, AZ 85326 ",180604.75,180900,-295.25,-0.0016321171918186606,https://www.zillow.com/homedetails/135-S-224TH-Ave-Buckeye-AZ-85326/95097620_zpid/
483710,"2639 N 65th Ave, Phoenix, AZ 85035 ",174592.140625,174900,-307.859375,-0.0017602022584334298,https://www.zillow.com/homedetails/2639-N-65th-Ave-Phoenix-AZ-85035/7490237_zpid/
7412600,"1373 E Geronimo St, Chandler, AZ 85225 ",324584.96875,324900,-315.03125,-0.0009696252693136564,https://www.zillow.com/homedetails/1373-E-Geronimo-St-Chandler-AZ-85225/50196183_zpid/
411959,"5325 W Surrey Ave, Glendale, AZ 85304 ",259184.5625,259500,-315.4375,-0.0012155587668593038,https://www.zillow.com/homedetails/5325-W-Surrey-Ave-Glendale-AZ-85304/7911860_zpid/
7471533,"374 Leisure World, Mesa, AZ 85206 ",124655.9140625,124999,-343.0859375,-0.002744709457675687,https://www.zillow.com/homedetails/374-Leisure-World-Mesa-AZ-85206/2094830263_zpid/
414263,"6325 W Riviera Dr, Glendale, AZ 85304 ",279535.875,279900,-364.125,-0.0013009110396570156,https://www.zillow.com/homedetails/6325-W-Riviera-Dr-Glendale-AZ-85304/7699173_zpid/
7433485,"20012 Heyden St, Detroit, MI 48219 ",54527.58984375,54900,-372.41015625,-0.0067834272540983065,https://www.zillow.com/homedetails/20012-Heyden-St-Detroit-MI-48219/88310942_zpid/
683753,"9455 E Meseto Ave, Mesa, AZ 85209 ",369520.0625,369900,-379.9375,-0.0010271357123546876,https://www.zillow.com/homedetails/9455-E-Meseto-Ave-Mesa-AZ-85209/8285686_zpid/
7441268,"1937 Saint Lawrence Dr, Las Vegas, NV 89108 ",154607.53125,155000,-392.46875,-0.0025320564516129185,https://www.zillow.com/homedetails/1937-Saint-Lawrence-Dr-Las-Vegas-NV-89108/6997140_zpid/
