address,bedrooms,bathrooms,sqft,source,longitude,latitude,elevation,neighborhood,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed
"2430 W Gambit Trl, Phoenix, AZ 85085",4,2,1782,zillow_ph,,,,Deer Valley,rental,1350,open,,,2015-08-26
"2138 W Redbird Dr, Phoenix, AZ 85085",5,3,3128,zillow_ph,-112.106,33.7291,455.916,Deer Valley,rental,1850,open,,,2015-08-26
"3770 E Kristal Way, Phoenix, AZ 85050",3,2,1588,zillow_ph,-112.001,33.6619,461.908,Paradise Valley,rental,1495,open,,,2015-08-26
"27004 N 20th Ln, Phoenix, AZ 85085",5,3,3113,zillow_ph,,,,Deer Valley,rental,1650,open,,,2015-08-26
"2048 W Wagoner Rd, Phoenix, AZ 85023",4,2,2013,zillow_ph,-112.105,33.6536,418.024,Deer Valley,rental,895,open,,,2015-08-27
"736 E Mclellan Blvd, Phoenix, AZ 85014",3,1,1207,zillow_ph,,,,Camelback East,rental,1395,open,,,2015-08-28
"1125 E Belmont Ave, Phoenix, AZ 85020",2,2,988,zillow_ph,-112.058,33.5487,377.457,Camelback East,rental,895,open,,,2015-08-28
"6729 N 32nd Ave, Phoenix, AZ 85017",2,2,1330,zillow_ph,,,,Alahambra,rental,795,open,,,2015-08-28
"2525 E Earll Dr, Phoenix, AZ 85016",3,2,1246,zillow_ph,-112.027,33.4837,349.4,Camelback East,rental,1250,open,,,2015-08-29
"6630 W Paso Trl, Phoenix, AZ 85083",4,2,1571,zillow_ph,-112.202,33.7208,432.226,Deer Valley,rental,1350,open,,,2015-08-29
"836 E Paradise Ln, Phoenix, AZ 85022",3,2,1921,zillow_ph,-112.063,33.6333,421.248,North Mountain,rental,1400,open,,,2015-08-29
"1301 E Granada Rd, Phoenix, AZ 85006",3,1,1120,zillow_ph,-112.054,33.4682,336.262,Encanto,rental,1000,open,,,2015-08-29
"2222 E Marconi Ave, Phoenix, AZ 85022",2,1,1138,zillow_ph,-112.035,33.6305,433.286,Paradise Valley,rental,940,open,,,2015-08-29
"2411 W Augusta Ave, Phoenix, AZ 85021",2,1,750,zillow_ph,-112.111,33.5512,365.547,Alahambra,rental,850,open,,,2015-08-29
"938 E San Miguel Ave, Phoenix, AZ 85014",3,1,1170,zillow_ph,-112.061,33.5196,354.46,Camelback East,rental,1100,open,,,2015-08-30
"9914 W Odeum Ln, Tolleson, AZ 85353",4,2,1701,zillow_ph,-112.273,33.4109,300.347,Estrella,rental,1000,open,,,2011-08-24
"1632 W Chanute Pass, Phoenix, AZ 85041",4,2,1675,zillow_ph,-112.094,33.3984,328.23,South Mountain,rental,950,open,,,2011-09-02
"4534 E Villa Maria Dr, Phoenix, AZ 85032",3,2,1832,zillow_ph,-111.983,33.6525,460.685,Paradise Valley,rental,1195,open,,,2011-09-08
"2430 W Mobile Ln, Phoenix, AZ 85041",3,2,2138,zillow_ph,,,,South Mountain,rental,1050,open,,,2012-02-25
"3634 W Redfield Rd, Phoenix, AZ 85053",4,2,1980,zillow_ph,-112.138,33.6141,386.512,North Mountain,rental,1495,open,,,2015-08-06
"1707 W Saint Catherine Ave, Phoenix, AZ 85041",5,3,2323,zillow_ph,-112.095,33.388,335.959,South Mountain,rental,1300,open,,,2012-09-11
"2910 E Cholla St, Phoenix, AZ 85028",3,2,1557,zillow_ph,-112.019,33.5895,436.718,Paradise Valley,rental,1295,open,,,2012-10-27
"4229 E Danbury Rd, Phoenix, AZ 85032",3,2,1900,zillow_ph,,,,Paradise Valley,rental,1650,open,,,2015-01-12
"3646 N 28th St, Phoenix, AZ 85016",3,2,1278,zillow_ph,,,,Camelback East,rental,1195,open,,,2013-06-13
"7817 S 46th St, Phoenix, AZ 85044",3,2,1850,zillow_ph,,,,Laveen,rental,1095,open,,,2015-05-12
"S 79th Dr Phoenix, AZ 85043",3,2,1600,zillow_ph,,,,,rental,1200,open,,,2015-09-06
"2300 W Missouri Ave, Phoenix, AZ 85015",3,2,1200,zillow_ph,-112.108,33.5168,349.413,Alahambra,rental,795,open,,,2015-09-01
"1004 E Pierson St, Phoenix, AZ 85014",3,1,1167,zillow_ph,-112.06,33.5077,346.989,Camelback East,rental,1100,open,,,2015-09-02
"2604 E Bighorn Ave, Phoenix, AZ 85048",4,2,2500,zillow_ph,-112.026,33.3063,379.822,Ahwatukee Foothills,rental,1599,open,,,2015-09-03
"334 E Monte Way, Phoenix, AZ 85042",3,2,1300,zillow_ph,-112.069,33.3609,396.029,South Mountain,rental,1025,open,,,2015-09-03
"1917 E Avalon Dr, Phoenix, AZ 85016",3,2,1333,zillow_ph,-112.04,33.4831,343.893,Encanto,rental,895,open,,,2015-09-04
"E Villa Rita Dr Phoenix, AZ 85022",2,2,1097,zillow_ph,-112.056,33.6505,,,rental,1100,open,,,2015-09-05
"E Amelia Ave Phoenix, AZ 85018",3,1,1100,zillow_ph,-111.991,33.4941,370.874,,rental,1475,open,,,2015-09-07
"3624 N 72nd Ln, Phoenix, AZ 85033",3,2,1262,zillow_ph,-112.216,33.4906,328.142,Maryvale,rental,795,open,,,2011-01-11
"931 E Wagoner Rd, Phoenix, AZ 85022",2,1,1134,zillow_ph,-112.06,33.6527,429.279,Deer Valley,rental,1199,open,,,2011-06-03
"3418 W Little Hopi Dr, Phoenix, AZ 85086",4,2,2423,zillow_ph,,,,North Gateway,rental,1670,open,,,2011-08-24
"1613 W North Ln, Phoenix, AZ 85021",3,1,1000,zillow_ph,-112.094,33.5811,382.553,North Mountain,rental,825,open,,,2011-11-08
"3318 E Montecito Ave, Phoenix, AZ 85018",4,2,2138,zillow_ph,-112.009,33.4999,366.069,Camelback East,rental,2000,open,,,2011-11-18
"3036 E Fremont Rd, Phoenix, AZ 85042",3,2,1703,zillow_ph,,,,South Mountain,rental,1150,open,,,2011-12-02
"18202 N 18th Pl, Phoenix, AZ 85022",3,2,1453,zillow_ph,-112.043,33.6515,439.187,Paradise Valley,rental,1195,open,,,2012-01-19
"23519 N 24th Ter, Phoenix, AZ 85024",3,3,1829,zillow_ph,-112.03,33.7002,478.658,Desert View,rental,1799,open,,,2012-02-09
"8226 W Lumbee St, Phoenix, AZ 85043",5,2,2100,zillow_ph,-112.237,33.4339,307.395,Estrella,rental,1350,open,,,2012-04-03
"4911 W Tonto Rd, Glendale, AZ 85308",3,2,1593,zillow_ph,-112.166,33.6648,398.105,Deer Valley,rental,1200,open,,,2012-04-16
"2836 W Palo Verde Dr, Phoenix, AZ 85017",2,1,1192,zillow_ph,-112.121,33.5235,354.157,Alahambra,rental,825,open,,,2012-08-01
"16407 S 42nd Pl, Phoenix, AZ 85048",5,3,2282,zillow_ph,,,,Ahwatukee Foothills,rental,1550,open,,,2012-08-08
"3977 E Hashknife Rd, Phoenix, AZ 85050",4,3,2751,zillow_ph,,,,Desert View,rental,2500,open,,,2013-05-14
