,address,ypred,list,url
229733,"13642 S 42nd St, Phoenix, AZ 85044 ",0.5875892639160156,229900,https://www.zillow.com/homedetails/13642-S-42nd-St-Phoenix-AZ-85044/8256073_zpid/
745939,"603 N Yale, Mesa, AZ 85213 ",0.5875892639160156,275000,https://www.zillow.com/homedetails/603-N-Yale-Mesa-AZ-85213/7636600_zpid/
71519,"3842 S Star Canyon Dr, Gilbert, AZ 85297 ",0.5875892639160156,237500,https://www.zillow.com/homedetails/3842-S-Star-Canyon-Dr-Gilbert-AZ-85297/81967387_zpid/
96636,"23673 S 220th St, Queen Creek, AZ 85142 ",0.5875892639160156,320000,http://www.zillow.com/homedetails/23673-S-220th-St-Queen-Creek-AZ-85142/71615164_zpid
245199,"4455 E Badger Way, Phoenix, AZ 85044 ",0.5875892639160156,284900,https://www.zillow.com/homedetails/4455-E-Badger-Way-Phoenix-AZ-85044/8260779_zpid/
801010,"901 E Harmony Ave, Mesa, AZ 85204 ",0.5875892639160156,265000,https://www.zillow.com/homedetails/901-E-Harmony-Ave-Mesa-AZ-85204/7629354_zpid/
756788,"3741 E Dover St, Mesa, AZ 85205 ",0.5875892639160156,335000,https://www.zillow.com/homedetails/3741-E-Dover-St-Mesa-AZ-85205/7637790_zpid/
52236,"2909 E Liberty Ln, Phoenix, AZ 85048 ",0.5875892639160156,389800,https://www.zillow.com/homedetails/2909-E-Liberty-Ln-Phoenix-AZ-85048/8158787_zpid/
186193,"16829 S Blue Ct, Phoenix, AZ 85048 ",0.5875892639160156,265000,https://www.zillow.com/homedetails/16829-S-Blue-Ct-Phoenix-AZ-85048/50201008_zpid/
7406135,"3113 S 100th Ln, Tolleson, AZ 85353 ",0.5824835896492004,179900,https://www.zillow.com/homedetails/3113-S-100th-Ln-Tolleson-AZ-85353/52389236_zpid/
1496137,"17679 W Tasha Dr, Surprise, AZ 85388 ",0.574525773525238,275000,https://www.zillow.com/homedetails/17679-W-Tasha-Dr-Surprise-AZ-85388/67795890_zpid/
23787,"1125 N Williams, Mesa, AZ 85203 ",0.5735054612159729,499999,https://www.zillow.com/homedetails/1125-N-Williams-Mesa-AZ-85203/7622830_zpid/
286736,"3550 E Beryl Ln, Phoenix, AZ 85028 ",0.5735054612159729,352000,https://www.zillow.com/homedetails/3550-E-Beryl-Ln-Phoenix-AZ-85028/7813178_zpid/
286709,"3536 E Hatcher Rd, Phoenix, AZ 85028 ",0.5735054612159729,475000,https://www.zillow.com/homedetails/3536-E-Hatcher-Rd-Phoenix-AZ-85028/7813267_zpid/
389080,"2502 W Corrine Dr, Phoenix, AZ 85029 ",0.5735054612159729,179900,https://www.zillow.com/homedetails/2502-W-Corrine-Dr-Phoenix-AZ-85029/7748235_zpid/
739275,"2243 E Grandview St, Mesa, AZ 85213 ",0.5692011713981628,495000,https://www.zillow.com/homedetails/2243-E-Grandview-St-Mesa-AZ-85213/7657931_zpid/
1090259,"625 N Hamilton St UNIT 41, Chandler, AZ 85225 ",0.5691616535186768,190000,https://www.zillow.com/homedetails/625-N-Hamilton-St-UNIT-41-Chandler-AZ-85225/8189060_zpid/
940770,"5780 S 236th Dr, Buckeye, AZ 85326 ",0.5670240521430969,168000,https://www.zillow.com/homedetails/5780-S-236th-Dr-Buckeye-AZ-85326/82829016_zpid/
927731,"23860 W La Salle St, Buckeye, AZ 85326 ",0.5670240521430969,189900,https://www.zillow.com/homedetails/23860-W-La-Salle-St-Buckeye-AZ-85326/82827278_zpid/
7405013,"16727 W Cypress St, Goodyear, AZ 85395 ",0.5670240521430969,589900,https://www.zillow.com/homedetails/16727-W-Cypress-St-Goodyear-AZ-85395/2095403102_zpid/
359392,"2160 S 90th Gln, Tolleson, AZ 85353 ",0.5670240521430969,185000,https://www.zillow.com/homedetails/2160-S-90th-Gln-Tolleson-AZ-85353/67772696_zpid/
7452762,"1825 S 104 Dr, Tolleson, AZ 85353 ",0.5670240521430969,240160,https://www.zillow.com/homedetails/1825-S-104-Dr-Tolleson-AZ-85353/2094930699_zpid/
7380352,"2619 S 101st Ln, Tolleson, AZ 85353 ",0.5670240521430969,212000,https://www.zillow.com/homedetails/2619-S-101st-Ln-Tolleson-AZ-85353/82822998_zpid/
7385574,"14482 W La Reata Ave, Goodyear, AZ 85395 ",0.5670240521430969,419900,https://www.zillow.com/homedetails/14482-W-La-Reata-Ave-Goodyear-AZ-85395/67761532_zpid/
7392803,"14475 W Roanoke Ave, Goodyear, AZ 85395 ",0.5670240521430969,449000,https://www.zillow.com/homedetails/14475-W-Roanoke-Ave-Goodyear-AZ-85395/67761580_zpid/
7429521,"10103 W Veliana Way, Tolleson, AZ 85353 ",0.5670240521430969,204900,https://www.zillow.com/homedetails/10103-W-Veliana-Way-Tolleson-AZ-85353/81980919_zpid/
359801,"3017 S 89th Dr, Tolleson, AZ 85353 ",0.5670240521430969,214000,https://www.zillow.com/homedetails/3017-S-89th-Dr-Tolleson-AZ-85353/81986108_zpid/
916408,"21836 W Casey Ln, Buckeye, AZ 85326 ",0.5670240521430969,227900,https://www.zillow.com/homedetails/21836-W-Casey-Ln-Buckeye-AZ-85326/95187503_zpid/
7452718,"4998 S 246TH Ln, Buckeye, AZ 85326 ",0.5670240521430969,193900,https://www.zillow.com/homedetails/4998-S-246TH-Ln-Buckeye-AZ-85326/95099671_zpid/
7451013,"18405 W Goldenrod St, Goodyear, AZ 85338 ",0.5670240521430969,381990,https://www.zillow.com/homedetails/18405-W-Goldenrod-St-Goodyear-AZ-85338/2094945825_zpid/
7402151,"24646 W Romley Rd, Buckeye, AZ 85326 ",0.5670240521430969,209900,https://www.zillow.com/homedetails/24646-W-Romley-Rd-Buckeye-AZ-85326/95186731_zpid/
7451006,"15225 S 183rd Dr, Goodyear, AZ 85338 ",0.5670240521430969,401990,https://www.zillow.com/homedetails/15225-S-183rd-Dr-Goodyear-AZ-85338/2094946155_zpid/
439747,"13302 W Monterey Way, Litchfield Park, AZ 85340 ",0.5670240521430969,290000,https://www.zillow.com/homedetails/13302-W-Monterey-Way-Litchfield-Park-AZ-85340/67780085_zpid/
7458299,"80 S 196th Ln, Buckeye, AZ 85326 ",0.5670240521430969,229990,https://www.zillow.com/homedetails/80-S-196th-Ln-Buckeye-AZ-85326/2094882813_zpid/
1849508,"15212 N Lorma Ln, Fountain Hills, AZ 85268 ",0.5639836192131042,649900,https://www.zillow.com/homedetails/15212-N-Lorma-Ln-Fountain-Hills-AZ-85268/7875649_zpid/
7488606,"15574 W Rio Vista Ln, Goodyear, AZ 85338 ",0.5611477494239807,209900,https://www.zillow.com/homedetails/15574-W-Rio-Vista-Ln-Goodyear-AZ-85338/67778354_zpid/
107688,"34845 N Bandolier Dr, Queen Creek, AZ 85142 ",0.5581299066543579,215000,http://www.zillow.com/homedetails/34845-N-Bandolier-Dr-Queen-Creek-AZ-85142/67436846_zpid
97152,"24613 S 220th St, Queen Creek, AZ 85142 ",0.5581299066543579,849900,http://www.zillow.com/homedetails/24613-S-220th-St-Queen-Creek-AZ-85142/55278804_zpid/
590639,"11551 E Starkey Ave, Mesa, AZ 85212 ",0.5581299066543579,225000,https://www.zillow.com/homedetails/11551-E-Starkey-Ave-Mesa-AZ-85212/71617155_zpid/
590232,"11521 E Segura Ave, Mesa, AZ 85212 ",0.5581299066543579,235000,https://www.zillow.com/homedetails/11521-E-Segura-Ave-Mesa-AZ-85212/71617195_zpid/
581400,"10656 E Pivitol Ave, Mesa, AZ 85212 ",0.5581299066543579,313500,https://www.zillow.com/homedetails/10656-E-Pivitol-Ave-Mesa-AZ-85212/121424009_zpid/
588369,"11366 E Starkey Ave, Mesa, AZ 85212 ",0.5581299066543579,329900,https://www.zillow.com/homedetails/11366-E-Starkey-Ave-Mesa-AZ-85212/71623116_zpid/
584695,"11123 E Quade Ave, Mesa, AZ 85212 ",0.5581299066543579,329500,https://www.zillow.com/homedetails/11123-E-Quade-Ave-Mesa-AZ-85212/92344807_zpid/
86320,"1962 W Green Tree Dr, Queen Creek, AZ 85142 ",0.5581299066543579,199000,http://www.zillow.com/homedetails/1962-W-Green-Tree-Dr-Queen-Creek-AZ-85142/67437207_zpid
580824,"10536 E Lincoln Ave, Mesa, AZ 85212 ",0.5581299066543579,335000,https://www.zillow.com/homedetails/10536-E-Lincoln-Ave-Mesa-AZ-85212/121423092_zpid/
7432561,"33412 W Narramore Rd, Arlington, AZ 85322 ",0.5559566617012024,499000,https://www.zillow.com/homedetails/33412-W-Narramore-Rd-Arlington-AZ-85322/92351210_zpid/
1497580,"17757 W Statler Dr, Surprise, AZ 85388 ",0.5550788044929504,219000,https://www.zillow.com/homedetails/17757-W-Statler-Dr-Surprise-AZ-85388/67795825_zpid/
7380857,"16908 E Lone Mountain Rd, Rio Verde, AZ 85263 ",0.5550788044929504,399000,https://www.zillow.com/homedetails/16908-E-Lone-Mountain-Rd-Rio-Verde-AZ-85263/2095779436_zpid/
1477646,"11447 W St John Rd, Surprise, AZ 85378 ",0.5550788044929504,244382,https://www.zillow.com/homedetails/11447-W-St-John-Rd-Surprise-AZ-85378/95128741_zpid/
7453789,"2947 N 71st Pl, Mesa, AZ 85207 ",0.5550788044929504,275000,https://www.zillow.com/homedetails/2947-N-71st-Pl-Mesa-AZ-85207/2095021899_zpid/
7427549,"29155 N 128th Ln, Peoria, AZ 85383 ",0.5550788044929504,362500,https://www.zillow.com/homedetails/29155-N-128th-Ln-Peoria-AZ-85383/95175033_zpid/
