address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1250 Clay St, San Francisco, CA 94108",1,1,575,zillow_sf,http://www.zillow.com/homedetails/1250-Clay-St-San-Francisco-CA-94108/15067714_zpid/,-122.414,37.7936,95.5152,1980,0,1,,0.0113846,81801,rental,2800,closed,0,2012-04-07,2012-04-07,Nob Hill,93,SF
"1250 Clay St, San Francisco, CA 94108",1,1,575,zillow_sf,http://www.zillow.com/homedetails/1250-Clay-St-San-Francisco-CA-94108/15067714_zpid/,-122.414,37.7936,95.5152,1980,0,1,,0.0113846,81802,rental,3200,closed,29,2012-07-02,2012-06-03,Nob Hill,93,SF
"1250 Clay St, San Francisco, CA 94108",1,1,575,zillow_sf,http://www.zillow.com/homedetails/1250-Clay-St-San-Francisco-CA-94108/15067714_zpid/,-122.414,37.7936,95.5152,1980,0,1,,0.0113846,81805,rental,3000,closed,60,2013-12-08,2013-10-09,Nob Hill,93,SF
"1251 Francisco St, San Francisco, CA 94123",2,1,1170,zillow_sf,http://www.zillow.com/homedetails/1251-Francisco-St-San-Francisco-CA-94123/2118027658_zpid/,-122.426,37.803,23.6301,1923,0,1,,0.00522015,81807,rental,1300,closed,27,2012-08-20,2012-07-24,Marina,43,SF
"1251 Francisco St, San Francisco, CA 94123",2,1,1170,zillow_sf,http://www.zillow.com/homedetails/1251-Francisco-St-San-Francisco-CA-94123/2118027658_zpid/,-122.426,37.803,23.6301,1923,0,1,,0.00522015,81808,rental,1200,closed,2,2012-08-20,2012-08-18,Marina,43,SF
"130 Langton St, San Francisco, CA 94103",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/130-Langton-St-San-Francisco-CA-94103/15147986_zpid/,-122.408,37.7758,4.54487,1906,0,1,,0.0102,81825,rental,5850,closed,17,2014-10-15,2014-09-28,South of Market,75,SF
"1310 Fillmore St, San Francisco, CA 94115",1,1,811,zillow_sf,http://www.zillow.com/homedetails/1310-Fillmore-St-San-Francisco-CA-94115/2116677385_zpid/,-122.432,37.7817,39.231,2007,1,1,,0.00206155,81832,rental,2000,closed,3,2012-10-01,2012-09-28,Western Addition,83,SF
"1310 Fillmore St, San Francisco, CA 94115",1,1,811,zillow_sf,http://www.zillow.com/homedetails/1310-Fillmore-St-San-Francisco-CA-94115/2116677385_zpid/,-122.432,37.7817,39.231,2007,1,1,,0.00206155,81833,rental,3150,closed,51,2014-04-25,2014-03-05,Western Addition,83,SF
"1310 Fillmore St, San Francisco, CA 94115",1,1,811,zillow_sf,http://www.zillow.com/homedetails/1310-Fillmore-St-San-Francisco-CA-94115/2116677385_zpid/,-122.432,37.7817,39.231,2007,1,1,,0.00206155,81834,rental,2950,closed,29,2014-04-25,2014-03-27,Western Addition,83,SF
"1310 Fillmore St, San Francisco, CA 94115",1,1,811,zillow_sf,http://www.zillow.com/homedetails/1310-Fillmore-St-San-Francisco-CA-94115/2116677385_zpid/,-122.432,37.7817,39.231,2007,1,1,,0.00206155,81835,rental,4500,closed,48,2014-09-29,2014-08-12,Western Addition,83,SF
"137 Milton St, San Francisco, CA 94112",1,1,560,zillow_sf,http://www.zillow.com/homedetails/137-Milton-St-San-Francisco-CA-94112/15185486_zpid/,-122.429,37.7328,46.43,1932,0,1,,0.00701142,81852,rental,2800,closed,2,2016-02-02,2016-01-31,Bernal Heights,5,SF
"141 Junipero Serra Blvd, San Francisco, CA 94127",3,2,4138,zillow_sf,http://www.zillow.com/homedetails/141-Junipero-Serra-Blvd-San-Francisco-CA-94127/15141466_zpid/,-122.471,37.7327,86.3406,1934,0,1,,0.00451774,81857,rental,6200,closed,32,2016-02-26,2016-01-25,Balboa Terrace,3,SF
"145 Marlin Ct, San Francisco, CA 94124",2,1,992,zillow_sf,http://www.zillow.com/homedetails/145-Marlin-Ct-San-Francisco-CA-94124/2141081565_zpid/,-122.373,37.7269,33.8663,1970,0,1,,0.00539351,81870,rental,2850,closed,25,2016-02-19,2016-01-25,Hunters Point 0,28,SF
"155 De Soto St, San Francisco, CA 94127",4,2,2491,zillow_sf,http://www.zillow.com/homedetails/155-De-Soto-St-San-Francisco-CA-94127/15187367_zpid/,-122.466,37.7244,71.4516,1923,0,1,,0.0032573,81878,rental,5995,closed,10,2016-02-09,2016-01-30,Ingleside Terrace,32,SF
"1719 29th Ave, San Francisco, CA 94122",1,2,1800,zillow_sf,http://www.zillow.com/homedetails/1719-29th-Ave-San-Francisco-CA-94122/15110821_zpid/,-122.488,37.7552,87.1053,2003,0,1,,0.00982293,81907,rental,900,closed,22,2011-01-27,2011-01-05,Central Sunset,8,SF
"1719 29th Ave, San Francisco, CA 94122",1,2,1800,zillow_sf,http://www.zillow.com/homedetails/1719-29th-Ave-San-Francisco-CA-94122/15110821_zpid/,-122.488,37.7552,87.1053,2003,0,1,,0.00982293,81908,rental,800,closed,12,2014-07-17,2014-07-05,Central Sunset,8,SF
