,address,ypred,list,gain-loss,gain-loss%,days_pred,url
3521867,"6504 Bannock Way, Las Vegas, NV 89107 ",88497.4921875,159900,-71402.5078125,-0.44654476430581613,390.7590026855469,https://www.zillow.com/homedetails/6504-Bannock-Way-Las-Vegas-NV-89107/6977782_zpid/
7430498,"1644 W Chipman Rd, Phoenix, AZ 85041 ",53266.28125,125000,-71733.71875,-0.5738697500000001,60.051273345947266,https://www.zillow.com/homedetails/1644-W-Chipman-Rd-Phoenix-AZ-85041/7502110_zpid/
7448568,"4214 W Orangewood Ave, Phoenix, AZ 85051 ",108254.03125,180000,-71745.96875,-0.3985887152777777,76.99642181396484,https://www.zillow.com/homedetails/4214-W-Orangewood-Ave-Phoenix-AZ-85051/7757987_zpid/
7443016,"4846 W Windsor Ave, Phoenix, AZ 85035 ",79722.8828125,152000,-72277.1171875,-0.4755073499177631,72.10957336425781,https://www.zillow.com/homedetails/4846-W-Windsor-Ave-Phoenix-AZ-85035/7499019_zpid/
414263,"6325 W Riviera Dr, Glendale, AZ 85304 ",207573.6875,279900,-72326.3125,-0.2584005448374419,75.36054229736328,https://www.zillow.com/homedetails/6325-W-Riviera-Dr-Glendale-AZ-85304/7699173_zpid/
1672647,"9614 W Calico Dr, Sun City, AZ 85373 ",52327.64453125,126900,-74572.35546875,-0.5876466151989757,75.97488403320312,https://www.zillow.com/homedetails/9614-W-Calico-Dr-Sun-City-AZ-85373/8095108_zpid/
436826,"12705 W Desert Flower Rd, Avondale, AZ 85392 ",134952.203125,210000,-75047.796875,-0.35737046130952377,79.82022857666016,https://www.zillow.com/homedetails/12705-W-Desert-Flower-Rd-Avondale-AZ-85392/8306043_zpid/
1666687,"17826 N Palo Verde Dr, Sun City, AZ 85373 ",119646.6015625,194700,-75053.3984375,-0.3854822724062661,77.70785522460938,https://www.zillow.com/homedetails/17826-N-Palo-Verde-Dr-Sun-City-AZ-85373/8095271_zpid/
674610,"7864 E Mendoza Ave, Mesa, AZ 85209 ",173171.796875,248900,-75728.203125,-0.3042515191844114,81.74586486816406,https://www.zillow.com/homedetails/7864-E-Mendoza-Ave-Mesa-AZ-85209/8270202_zpid/
1701626,"17811 N 133rd Ct, Sun City West, AZ 85375 ",124159.421875,199999,-75839.578125,-0.37919978662393317,77.04553985595703,https://www.zillow.com/homedetails/17811-N-133rd-Ct-Sun-City-West-AZ-85375/8110835_zpid/
422408,"6621 W Turquoise Ave, Glendale, AZ 85302 ",128192.1796875,204900,-76707.8203125,-0.37436710743045387,99.9556884765625,https://www.zillow.com/homedetails/6621-W-Turquoise-Ave-Glendale-AZ-85302/7706266_zpid/
7395939,"243 S Eliot St, Denver, CO 80219 ",142265.0,219000,-76735.0,-0.3503881278538813,57.90037536621094,https://www.zillow.com/homedetails/243-S-Eliot-St-Denver-CO-80219/121927254_zpid/
7429920,"2219 Santa Ana Dr, Fairfield, CA 94533 ",187567.578125,265000,-77432.421875,-0.2921978183962264,69.10316467285156,https://www.zillow.com/homedetails/2219-Santa-Ana-Dr-Fairfield-CA-94533/15648858_zpid/
6775271,"6225 Littlewater Ln, Las Vegas, NV 89108 ",118394.1640625,195900,-77505.8359375,-0.3956397954951506,85.0931167602539,https://www.zillow.com/homedetails/6225-Littlewater-Ln-Las-Vegas-NV-89108/6954772_zpid/
1904321,"3108 Austin Ave, Las Vegas, NV 89107 ",112307.53125,189900,-77592.46875,-0.4085964652448657,161.8002166748047,https://www.zillow.com/homedetails/3108-Austin-Ave-Las-Vegas-NV-89107/7010263_zpid/
3645187,"10409 Broom Hill Dr, Las Vegas, NV 89134 ",209456.875,287400,-77943.125,-0.27120085247042447,30.13558006286621,https://www.zillow.com/homedetails/10409-Broom-Hill-Dr-Las-Vegas-NV-89134/6908152_zpid/
7464016,"4246 W Vogel Ave, Phoenix, AZ 85051 ",106284.421875,185000,-78715.578125,-0.42548961148648645,246.19558715820312,https://www.zillow.com/homedetails/4246-W-Vogel-Ave-Phoenix-AZ-85051/7746334_zpid/
3486902,"2720 Mickey Mantle Ct, Las Vegas, NV 89108 ",180736.453125,260000,-79263.546875,-0.30485979567307697,222.12110900878906,https://www.zillow.com/homedetails/2720-Mickey-Mantle-Ct-Las-Vegas-NV-89108/123490052_zpid/
7450995,"12618 Newbrook Dr, Houston, TX 77072 ",-22589.373046875,57000,-79589.373046875,-1.3963047902960526,32.51166915893555,https://www.zillow.com/homedetails/12618-Newbrook-Dr-Houston-TX-77072/28188910_zpid/
7415260,"6401 S 6th Ave, Phoenix, AZ 85041 ",88278.9453125,169000,-80721.0546875,-0.4776393768491124,54.661293029785156,https://www.zillow.com/homedetails/6401-S-6th-Ave-Phoenix-AZ-85041/7526005_zpid/
7445960,"1351 N Kingston St, Gilbert, AZ 85233 ",228948.625,309900,-80951.375,-0.2612177315262988,83.35174560546875,https://www.zillow.com/homedetails/1351-N-Kingston-St-Gilbert-AZ-85233/8172765_zpid/
3632823,"8777 Autumn Wreath Ave, Las Vegas, NV 89129 ",133681.546875,214900,-81218.453125,-0.37793603129362496,86.65916442871094,https://www.zillow.com/homedetails/8777-Autumn-Wreath-Ave-Las-Vegas-NV-89129/6926125_zpid/
