"Url","Sqft"
"http://www.climbsf.com/for-rent/301-main-st-4g/"," 1,407"
"http://www.climbsf.com/for-rent/814-hayes-st-2/"," 1,200"
"http://www.climbsf.com/for-rent/301-main-st-3b/"," 1,820"
"http://www.climbsf.com/for-rent/225-grand-view-ave/","NA"
"http://www.climbsf.com/for-rent/1-hawthorne-st-2h/"," 1,377"
"http://www.climbsf.com/for-rent/260-king-st-479/"," 1,000"
"http://www.climbsf.com/for-rent/50-lansing-st-406/"," 1,066"
"http://www.climbsf.com/for-rent/325-berry-st-502/"," 1,514"
"http://www.climbsf.com/for-rent/388-townsend-st-4/"," 940"
"http://www.climbsf.com/for-rent/88-king-st-106/"," 1,293"
"http://www.climbsf.com/for-rent/200-brannan-st-323/"," 783"
"http://www.climbsf.com/for-rent/400-beale-st-911/"," 995"
"http://www.climbsf.com/for-rent/655-5th-st-1/"," 1,000"
"http://www.climbsf.com/for-rent/301-main-st-23f/"," 1,300+"
"http://www.climbsf.com/for-rent/300-ivy-st-403/","NA"
"http://www.climbsf.com/for-rent/1837-jefferson-st/"," 1,345"
"http://www.climbsf.com/for-rent/1536-pacific-ave-5/"," 1,407"
"http://www.climbsf.com/for-rent/435-china-basin-st-441/","NA"
"http://www.climbsf.com/for-rent/301-main-st-10c/"," 805"
"http://www.climbsf.com/for-rent/701-minnesota-st-119/"," 800"
"http://www.climbsf.com/for-rent/435-china-basin-st-634/","NA"
"http://www.climbsf.com/for-rent/1600-webster-st-308/","NA"
"http://www.climbsf.com/for-rent/300-ivy-st-503/","NA"
"http://www.climbsf.com/for-rent/425-1st-st-1608/"," 755"
"http://www.climbsf.com/for-rent/301-main-st-25e/"," 1,180"
"http://www.climbsf.com/for-rent/200-brannan-st-314/"," 732"
"http://www.climbsf.com/for-rent/403-main-st-515/"," 1,207"
"http://www.climbsf.com/for-rent/374-27th-ave/"," 1,350"
"http://www.climbsf.com/for-rent/1160-mission-st-901/"," 1,184"
"http://www.climbsf.com/for-rent/501-beale-st-4d/"," 759"
"http://www.climbsf.com/for-rent/333-main-st-4c/"," 842"
"http://www.climbsf.com/for-rent/425-1st-street-3305/"," 705"
"http://www.climbsf.com/for-rent/650-turk-st-501/"," 789"
"http://www.climbsf.com/for-rent/301-main-st-35f/"," 1,323"
"http://www.climbsf.com/for-rent/970-duncan-st-304f/"," 1,175"
"http://www.climbsf.com/for-rent/373-green-st/"," 800"
"http://www.climbsf.com/for-rent/250-king-st-536/"," 714"
"http://www.climbsf.com/for-rent/1940-stockton-st-104/"," 1,363"
"http://www.climbsf.com/for-rent/66-cleary-ct-306/"," 1,180"
"http://www.climbsf.com/for-rent/74-new-montgomery-st-515/"," 824"
"http://www.climbsf.com/for-rent/49-zoe-st-4/"," 960"
"http://www.climbsf.com/for-rent/657-26th-ave/"," 1,300"
"http://www.climbsf.com/for-rent/425-1st-st-4501/","NA"
"http://www.climbsf.com/for-rent/2125-bryant-st-102/"," 1,311"
"http://www.climbsf.com/for-rent/425-1st-st-3704/","NA"
"http://www.climbsf.com/for-rent/325-berry-st-506/"," 883"
"http://www.climbsf.com/for-rent/425-1st-st-3503/","NA"
"http://www.climbsf.com/for-rent/301-mission-st-701/"," 1,955"
"http://www.climbsf.com/for-rent/501-beale-st-8d/","NA"
"http://www.climbsf.com/for-rent/318-spear-st-5c/"," 842"
"http://www.climbsf.com/for-rent/18-lansing-st-201/"," 1,173"
"http://www.climbsf.com/for-rent/555-4th-st-417/"," 1,111"
"http://www.climbsf.com/for-rent/26-waldo-alley/"," 620"
"http://www.climbsf.com/for-rent/338-spear-st-21g/","NA"
"http://www.climbsf.com/for-rent/1921-jefferson-st-302/"," 550"
"http://www.climbsf.com/for-rent/723-ellsworth-st/"," 1,750"
"http://www.climbsf.com/for-rent/900-bush-st-410/","NA"
"http://www.climbsf.com/for-rent/821-folsom-st-310/"," 717"
"http://www.climbsf.com/for-rent/338-spear-st-18c/"," 800"
"http://www.climbsf.com/for-rent/219-brannan-st-7e/"," 1,116"
"http://www.climbsf.com/for-rent/301-main-st-6b/"," 1,793"
"http://www.climbsf.com/for-rent/325-berry-st-614/"," 680"
"http://www.climbsf.com/for-rent/403-main-st-416/"," 900"
"http://www.climbsf.com/for-rent/1160-mission-st-1611/"," 765"
"http://www.climbsf.com/for-rent/325-berry-st-701/"," 1,903"
"http://www.climbsf.com/for-rent/997-14th-st/"," 600"
"http://www.climbsf.com/for-rent/555-bartlett-st-413/"," 1,135"
"http://www.climbsf.com/for-rent/229-brannan-st-12j/"," 1,425"
"http://www.climbsf.com/for-rent/333-main-st-7b/"," 1,113"
"http://www.climbsf.com/for-rent/2030-3rd-st-6/"," 882"
"http://www.climbsf.com/for-rent/868-minnesota-st-313/"," 835"
"http://www.climbsf.com/for-rent/451-kansas-st-489/"," 453"
"http://www.climbsf.com/for-rent/3156-turk-st-a/"," 2,100"
"http://www.climbsf.com/for-rent/333-main-st-9d/","NA"
"http://www.climbsf.com/for-rent/338-spear-st-39a/"," 1,300"
"http://www.climbsf.com/for-rent/755-tennessee-st-2/"," 1,366"
"http://www.climbsf.com/for-rent/1288-mcallister-st-201/"," 1,216"
"http://www.climbsf.com/for-rent/38-beideman-st/"," 960"
"http://www.climbsf.com/for-rent/325-berry-st-317/","NA"
"http://www.climbsf.com/for-rent/1-hawthorne-st-2j/"," 794"
"http://www.climbsf.com/for-rent/2075-sutter-st-521/"," 1,068"
"http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-1608/"," 1,344"
"http://www.climbsf.com/for-rent/3009-sacramento-st-2/"," 1,300"
"http://www.climbsf.com/for-rent/88-king-st-904/"," 1,111"
"http://www.climbsf.com/for-rent/199-new-montgomery-st-208/"," 834"
"http://www.climbsf.com/for-rent/140-south-van-ness-ave-922/"," 1,160"
"http://www.climbsf.com/for-rent/1160-mission-st-1905/"," 664"
"http://www.climbsf.com/for-rent/333-main-st-4l/","NA"
"http://www.climbsf.com/for-rent/400-beale-st-506/","NA"
"http://www.climbsf.com/for-rent/300-3rd-st-1114/"," 1,161"
"http://www.climbsf.com/for-rent/4517-18th-st/"," 1,400"
"http://www.climbsf.com/for-rent/1097-howard-st-304/"," 1,056"
"http://www.climbsf.com/for-rent/333-main-st-7e/"," 1,361"
"http://www.climbsf.com/for-rent/338-spear-st-3c/"," 799"
"http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/"," 730"
"http://www.climbsf.com/for-rent/425-1st-st-2802/"," 1,449"
"http://www.climbsf.com/for-rent/50-lansing-st-209/"," 714"
"http://www.climbsf.com/for-rent/333-main-st-4d/","NA"
"http://www.climbsf.com/for-rent/403-main-st-410/"," 960"
"http://www.climbsf.com/for-rent/5-sparta-st/"," 1,780"
"http://www.climbsf.com/for-rent/425-1st-street-907/"," 819"
"http://www.climbsf.com/for-rent/400-beale-st-406/"," 1,038"
"http://www.climbsf.com/for-rent/999-16th-st-15/"," 1,500"
"http://www.climbsf.com/for-rent/16-jessie-st-311/"," 620"
"http://www.climbsf.com/for-rent/2712a-pine-st/","NA"
"http://www.climbsf.com/for-rent/682-28th-st/"," 2,300"
"http://www.climbsf.com/for-rent/338-spear-st-18b/"," 1,322"
"http://www.climbsf.com/for-rent/235-berry-st-107-2/"," 2,000"
"http://www.climbsf.com/for-rent/1703-powell-st/","NA"
"http://www.climbsf.com/for-rent/201-harrison-st-711/"," 795"
"http://www.climbsf.com/for-rent/1979-clay-st/"," 2,000"
"http://www.climbsf.com/for-rent/1340-clay-st-402/"," 1,670"
"http://www.climbsf.com/for-rent/235-berry-street-102/"," 1255"
"http://www.climbsf.com/for-rent/55-page-street-814/"," 865"
"http://www.climbsf.com/for-rent/555-4th-st-734/"," 590"
"http://www.climbsf.com/for-rent/16-jessie-st-407/"," 450 Sq Ft"
"http://www.climbsf.com/for-rent/555-4th-st-803/","NA"
"http://www.climbsf.com/for-rent/260-king-st/","NA"
"http://www.climbsf.com/for-rent/74-new-montgomery-412/"," 870"
"http://www.climbsf.com/for-rent/407-palisade-dr/"," 1,556"
"http://www.climbsf.com/for-rent/370-santa-clara-ave-6/","NA"
"http://www.climbsf.com/for-rent/675-8th-st-1/"," 1,285"
"http://www.climbsf.com/for-rent/438-west-grand-ave-429/"," 802"
"http://www.climbsf.com/for-rent/1655-n-california-blvd-345/"," 886"
"http://www.climbsf.com/for-rent/1201-pine-st-141/"," 1,219"
"http://www.climbsf.com/for-rent/8048-earl-st/","NA"
