property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source,pred_std
24397,"14830 N 32nd Ln, Phoenix, AZ 85053",3,2,1288,zillow_ph,http://www.zillow.com/homedetails/14830-N-32nd-Ln-Phoenix-AZ-85053/7943778_zpid/,-112.13,33.6208,391.953,1970,0,1,,,111659,rental,990,closed,59,2011-07-15,2011-05-17,North Mountain,176,PH,312.37242739887800000000
24397,"14830 N 32nd Ln, Phoenix, AZ 85053",3,2,1288,zillow_ph,http://www.zillow.com/homedetails/14830-N-32nd-Ln-Phoenix-AZ-85053/7943778_zpid/,-112.13,33.6208,391.953,1970,0,1,,,111660,rental,1050,closed,5,2015-04-03,2015-03-29,North Mountain,176,PH,312.37242739887800000000
24397,"14830 N 32nd Ln, Phoenix, AZ 85053",3,2,1288,zillow_ph,http://www.zillow.com/homedetails/14830-N-32nd-Ln-Phoenix-AZ-85053/7943778_zpid/,-112.13,33.6208,391.953,1970,0,1,,,111661,rental,1125,closed,12,2016-02-24,2016-02-12,North Mountain,176,PH,312.37242739887800000000
24400,"1824 W Seldon Ln, Phoenix, AZ 85021",3,2,1721,zillow_ph,http://www.zillow.com/homedetails/1824-W-Seldon-Ln-Phoenix-AZ-85021/7780839_zpid/,-112.098,33.5622,370.401,1970,0,1,,,111670,rental,1399,closed,53,2012-04-10,2012-02-17,North Mountain,176,PH,312.39060884650700000000
24400,"1824 W Seldon Ln, Phoenix, AZ 85021",3,2,1721,zillow_ph,http://www.zillow.com/homedetails/1824-W-Seldon-Ln-Phoenix-AZ-85021/7780839_zpid/,-112.098,33.5622,370.401,1970,0,1,,,111671,rental,1299,closed,41,2012-04-10,2012-02-29,North Mountain,176,PH,312.39060884650700000000
24400,"1824 W Seldon Ln, Phoenix, AZ 85021",3,2,1721,zillow_ph,http://www.zillow.com/homedetails/1824-W-Seldon-Ln-Phoenix-AZ-85021/7780839_zpid/,-112.098,33.5622,370.401,1970,0,1,,,111672,rental,1395,closed,40,2015-07-27,2015-06-17,North Mountain,176,PH,312.39060884650700000000
24400,"1824 W Seldon Ln, Phoenix, AZ 85021",3,2,1721,zillow_ph,http://www.zillow.com/homedetails/1824-W-Seldon-Ln-Phoenix-AZ-85021/7780839_zpid/,-112.098,33.5622,370.401,1970,0,1,,,127056,rental,1300,closed,41,2015-09-06,2015-07-27,North Mountain,176,PH,312.39060884650700000000
24407,"2908 W Corrine Dr, Phoenix, AZ 85029",3,2,1577,zillow_ph,http://www.zillow.com/homedetails/2908-W-Corrine-Dr-Phoenix-AZ-85029/7741149_zpid/,-112.121,33.601,389.813,1961,1,1,,,111706,rental,975,closed,22,2012-07-12,2012-06-20,North Mountain,176,PH,312.53101773488800000000
24407,"2908 W Corrine Dr, Phoenix, AZ 85029",3,2,1577,zillow_ph,http://www.zillow.com/homedetails/2908-W-Corrine-Dr-Phoenix-AZ-85029/7741149_zpid/,-112.121,33.601,389.813,1961,1,1,,,111707,rental,950,closed,15,2012-07-12,2012-06-27,North Mountain,176,PH,312.53101773488800000000
24407,"2908 W Corrine Dr, Phoenix, AZ 85029",3,2,1577,zillow_ph,http://www.zillow.com/homedetails/2908-W-Corrine-Dr-Phoenix-AZ-85029/7741149_zpid/,-112.121,33.601,389.813,1961,1,1,,,111709,rental,875,closed,7,2016-02-19,2016-02-12,North Mountain,176,PH,312.53101773488800000000
