address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid
"20 Quartz Way, San Francisco, CA 94131",6,3,2900,zillow_sf,http://www.zillow.com/homedetails/20-Quartz-Way-San-Francisco-CA-94131/15198789_zpid/,-122.446,37.7457,159.367,rental,8500,open,,,2015-08-06,Diamond Heights,13
"Crags Ct San Francisco, CA 94131",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Crags-Ct-San-Francisco-CA-94131/2101943191_zpid/,-122.44,37.7411,150.685,rental,6800,open,,,2015-08-28,Diamond Heights,13
"38 Cameo Way, San Francisco, CA 94131",2,1,1700,zillow_sf,http://www.zillow.com/homedetails/38-Cameo-Way-San-Francisco-CA-94131/15198816_zpid/,-122.445,37.745,173.94,rental,5000,open,,,2015-08-22,Diamond Heights,13
"940 Duncan St # 104, San Francisco, CA 94131",2,2,1175,zillow_sf,http://www.zillow.com/homedetails/940-Duncan-St-104-San-Francisco-CA-94131/2124440214_zpid/,-122.441,37.7455,190.879,rental,3995,open,,,2015-09-18,Diamond Heights,13
900 Bush Street #410,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/900-bush-st-410/,-122.413,37.79,62.3965,rental,2100,closed,,2013-10-22,,Downtown,14
181 O'Farrell Street #502,1,1,1499,climbsf_rented,http://www.climbsf.com/for-rent/181-ofarrell-st-502/,-122.408,37.7863,15.3914,rental,4000,closed,,2014-06-24,,Downtown,14
1001 Pine Street #1204,1,1,616,climbsf_rented,http://www.climbsf.com/for-rent/1001-pine-st-1204/,-122.413,37.7903,67.5895,rental,0,closed,,2014-09-24,,Downtown,14
1299 Bush Street #303,2,2,978,climbsf_rented,http://www.climbsf.com/for-rent/1299-bush-st-303/,-122.419,37.7889,49.8548,rental,4300,closed,,2014-11-04,,Downtown,14
637 Powell Street #202,2,1,1590,climbsf_rented,http://www.climbsf.com/for-rent/637-powell-st-202/,-122.409,37.7906,50.9419,rental,4500,closed,,2014-12-12,,Downtown,14
735 Geary Street #303,1,1,820,climbsf_rented,http://www.climbsf.com/for-rent/735-geary-st-303/,-122.415,37.7862,36.3448,rental,3000,closed,,2015-01-08,,Downtown,14
"1177 California St, San Francisco, CA 94108",2,2,1640,zillow_sf,http://www.zillow.com/homedetails/1177-California-St-San-Francisco-CA-94108/2105667673_zpid/,-122.414,37.791,87.0144,rental,2400,open,,,2015-03-19,Downtown,14
"725 Pine St APT 301, San Francisco, CA 94108",1,1,550,zillow_sf,http://www.zillow.com/homedetails/725-Pine-St-APT-301-San-Francisco-CA-94108/82785250_zpid/,-122.408,37.791,52.1983,rental,3090,open,,,2015-09-03,Downtown,14
"Ofarrell St San Francisco, CA 94109",0,1,400,zillow_sf,http://www.zillow.com/homedetails/Ofarrell-St-San-Francisco-CA-94109/2106160953_zpid/,-122.419,37.7851,34.5974,rental,2375,open,,,2015-09-17,Downtown,14
"1264 Pine St, San Francisco, CA 94109",3,1,2100,zillow_sf,http://www.zillow.com/homedetails/1264-Pine-St-San-Francisco-CA-94109/2104136187_zpid/,-122.417,37.7901,68.4919,rental,6500,open,,,2015-09-14,Downtown,14
"Cyril Magnin St San Francisco, CA 94102",2,2,0,zillow_sf,http://www.zillow.com/homedetails/Cyril-Magnin-St-San-Francisco-CA-94102/2101089190_zpid/,-122.409,37.7852,14.1129,rental,4300,open,,,2015-09-20,Downtown,14
997 14th Street,1,1,600,climbsf_rented,http://www.climbsf.com/for-rent/997-14th-st/,-122.435,37.7672,72.7381,rental,2700,closed,,2013-09-16,,Duboce Triangle,15
8 Buchanan Street #600,2,1,881,climbsf_rented,http://www.climbsf.com/for-rent/8-buchanan-st-600/,-122.427,37.7697,35.6563,rental,4000,closed,,2014-05-13,,Duboce Triangle,15
8 Buchanan Street #214,0,1,453,climbsf_rented,http://www.climbsf.com/for-rent/1960-market-st-214/,-122.427,37.7697,35.6563,rental,2975,closed,,2015-06-15,,Duboce Triangle,15
"923 14th St, San Francisco, CA 94114",3,1,1700,zillow_sf,http://www.zillow.com/homedetails/923-14th-St-San-Francisco-CA-94114/15142913_zpid/,-122.434,37.7672,55.4926,rental,6000,open,,,2015-09-14,Duboce Triangle,15
"8 Buchanan St UNIT 507, San Francisco, CA 94102",1,1,640,zillow_sf,http://www.zillow.com/homedetails/8-Buchanan-St-UNIT-507-San-Francisco-CA-94102/2101409840_zpid/,-122.427,37.7697,35.6563,rental,3895,open,,,2015-08-25,Duboce Triangle,15
"2154 Market St APT C, San Francisco, CA 94114",1,1,455,zillow_sf,http://www.zillow.com/homedetails/2154-Market-St-APT-C-San-Francisco-CA-94114/2101338545_zpid/,-122.43,37.7669,33.3263,rental,2750,open,,,2015-09-04,Duboce Triangle,15
"Market St San Francisco, CA 94114",2,2,1200,zillow_sf,http://www.zillow.com/homedetails/Market-St-San-Francisco-CA-94114/2101096892_zpid/,-122.426,37.7696,35.2097,rental,4995,open,,,2015-09-18,Duboce Triangle,15
"8 Buchanan St, San Francisco, CA 94102",1,1,700,zillow_sf,http://www.zillow.com/homedetails/8-Buchanan-St-San-Francisco-CA-94102/2102937477_zpid/,-122.427,37.7697,35.6563,rental,3850,open,,,2015-09-25,Duboce Triangle,15
4517 18th Street,3,3,1400,climbsf_rented,http://www.climbsf.com/for-rent/4517-18th-st/,-122.44,37.7604,45.9379,rental,5800,closed,,2013-06-04,,Eureka Valley / Dolores Heights,16
225 Grandview Avenue,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/225-grand-view-ave/,-122.441,37.7547,119.374,rental,9500,closed,,2014-04-09,,Eureka Valley / Dolores Heights,16
306 Eureka Street,1,1,756,climbsf_rented,http://www.climbsf.com/for-rent/306-eureka-st/,-122.438,37.7572,83.7298,rental,3250,closed,,2014-05-20,,Eureka Valley / Dolores Heights,16
163 Liberty Street,3,2,2060,climbsf_rented,http://www.climbsf.com/for-rent/163-liberty-st/,-122.425,37.7571,41.2734,rental,7500,closed,,2014-08-12,,Eureka Valley / Dolores Heights,16
234 Grand View Avenue,3,2,1682,climbsf_rented,http://www.climbsf.com/for-rent/234-grand-view-ave/,-122.441,37.7545,131.494,rental,7300,closed,,2014-09-26,,Eureka Valley / Dolores Heights,16
55 Hancock Street,2,1,1040,climbsf_rented,http://www.climbsf.com/for-rent/55-hancock-st-1/,-122.429,37.7602,30.889,rental,4400,closed,,2014-11-25,,Eureka Valley / Dolores Heights,16
3065 Market Street,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/3065-market-st/,-122.442,37.7609,67.1337,rental,3900,closed,,2014-11-25,,Eureka Valley / Dolores Heights,16
"(Undisclosed Address) San Francisco, CA 94114",1,1,800,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94114/2111980598_zpid/,-122.433,37.7561,99.598,rental,4250,open,,,2014-06-13,Eureka Valley / Dolores Heights,16
"20th St San Francisco, CA 94114",2,1,850,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94114/2104055540_zpid/,-122.432,37.7578,70.3663,rental,5700,open,,,2015-05-14,Eureka Valley / Dolores Heights,16
"149 Hartford St, San Francisco, CA 94114",3,2,2100,zillow_sf,http://www.zillow.com/homedetails/149-Hartford-St-San-Francisco-CA-94114/15144408_zpid/,-122.434,37.7602,30.035,rental,7600,open,,,2015-06-18,Eureka Valley / Dolores Heights,16
"Cumberland St San Francisco, CA 94114",5,4,0,zillow_sf,http://www.zillow.com/homedetails/Cumberland-St-San-Francisco-CA-94114/2101963834_zpid/,-122.43,37.7588,69.1504,rental,22500,open,,,2015-07-07,Eureka Valley / Dolores Heights,16
"18th St San Francisco, CA 94114",2,1,940,zillow_sf,http://www.zillow.com/homedetails/18th-St-San-Francisco-CA-94114/2101740991_zpid/,-122.435,37.7609,25.2467,rental,4990,open,,,2015-07-09,Eureka Valley / Dolores Heights,16
"3745 21st St, San Francisco, CA 94114",4,3,3300,zillow_sf,http://www.zillow.com/homedetails/3745-21st-St-San-Francisco-CA-94114/53153469_zpid/,-122.431,37.7562,111.071,rental,15000,open,,,2015-07-13,Eureka Valley / Dolores Heights,16
"3822 19th St APT 7, San Francisco, CA 94114",2,2,0,zillow_sf,http://www.zillow.com/homedetails/3822-19th-St-APT-7-San-Francisco-CA-94114/2105976729_zpid/,-122.429,37.7597,34.0805,rental,4350,open,,,2015-08-28,Eureka Valley / Dolores Heights,16
"169 Hancock St, San Francisco, CA 94114",2,1,1300,zillow_sf,http://www.zillow.com/homedetails/169-Hancock-St-San-Francisco-CA-94114/15144485_zpid/,-122.432,37.76,36.3564,rental,5495,open,,,2015-09-13,Eureka Valley / Dolores Heights,16
"4658 18th St, San Francisco, CA 94114",3,3,1806,zillow_sf,http://www.zillow.com/homedetails/4658-18th-St-San-Francisco-CA-94114/15128528_zpid/,-122.442,37.7606,65.1047,rental,7900,open,,,2015-09-09,Eureka Valley / Dolores Heights,16
"857 Church St APT 3, San Francisco, CA 94114",1,1,830,zillow_sf,http://www.zillow.com/homedetails/857-Church-St-APT-3-San-Francisco-CA-94114/2113996511_zpid/,-122.428,37.7571,56.3013,rental,4000,open,,,2015-09-10,Eureka Valley / Dolores Heights,16
"326 Eureka St, San Francisco, CA 94114",1,1,836,zillow_sf,http://www.zillow.com/homedetails/326-Eureka-St-San-Francisco-CA-94114/123596753_zpid/,-122.438,37.7569,82.4832,rental,3995,open,,,2015-09-23,Eureka Valley / Dolores Heights,16
"530 Noe St, San Francisco, CA 94114",2,2,1000,zillow_sf,http://www.zillow.com/homedetails/530-Noe-St-San-Francisco-CA-94114/2101885247_zpid/,-122.433,37.7604,25.2879,rental,5900,open,,,2015-09-18,Eureka Valley / Dolores Heights,16
"366 Eureka St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/366-Eureka-St-San-Francisco-CA-94114/2101107502_zpid/,-122.438,37.7561,91.195,rental,3950,open,,,2015-09-18,Eureka Valley / Dolores Heights,16
"37 Diamond St, San Francisco, CA 94114",3,3,1900,zillow_sf,http://www.zillow.com/homedetails/37-Diamond-St-San-Francisco-CA-94114/2101210809_zpid/,-122.437,37.7619,42.9231,rental,6995,open,,,2015-09-21,Eureka Valley / Dolores Heights,16
"4308 21st St, San Francisco, CA 94114",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/4308-21st-St-San-Francisco-CA-94114/15130487_zpid/,-122.439,37.7555,103.109,rental,8000,open,,,2015-09-23,Eureka Valley / Dolores Heights,16
"3928 20th St, San Francisco, CA 94114",4,3,1416,zillow_sf,http://www.zillow.com/homedetails/3928-20th-St-San-Francisco-CA-94114/15145020_zpid/,-122.429,37.7583,48.2604,rental,17500,open,,,2015-09-24,Eureka Valley / Dolores Heights,16
