address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"2316 E Dry Wood Rd, Phoenix, AZ 85024",5,2,3207,zillow_ph,http://www.zillow.com/homedetails/2316-E-Dry-Wood-Rd-Phoenix-AZ-85024/94882397_zpid/,-112.024,33.7057,485.901,,,1,rental,2199,closed,2,2015-10-10,2015-10-08,Desert View,273,PH
"1644 W Straight Arrow Ln, Phoenix, AZ 85085",3,2,1505,zillow_ph,http://www.zillow.com/homedetails/1644-W-Straight-Arrow-Ln-Phoenix-AZ-85085/95089445_zpid/,-112.095,33.7333,478.158,,,1,rental,1595,open,,,2015-08-13,North Gateway,219,PH
"910 E Fairmount Ave, Phoenix, AZ 85014",1,1,510,zillow_ph,http://www.zillow.com/homedetails/910-E-Fairmount-Ave-Phoenix-AZ-85014/81976246_zpid/,-112.062,33.4932,339.977,,,1,rental,545,open,,,2015-08-13,Encanto,314,PH
"2520 E Marilyn Rd, Phoenix, AZ 85032",3,2,1080,zillow_ph,http://www.zillow.com/homedetails/2520-E-Marilyn-Rd-Phoenix-AZ-85032/8013736_zpid/,-112.027,33.6206,444.15,,,1,rental,1150,open,,,2015-08-15,Paradise Valley,288,PH
"6438 W Sells Dr, Phoenix, AZ 85033",5,2,1913,zillow_ph,http://www.zillow.com/homedetails/6438-W-Sells-Dr-Phoenix-AZ-85033/7717217_zpid/,-112.199,33.5015,336.381,,,1,rental,1100,open,,,2015-08-12,Maryvale,208,PH
"5024 S 21st Pl, Phoenix, AZ 85040",3,2,1275,zillow_ph,http://www.zillow.com/homedetails/5024-S-21st-Pl-Phoenix-AZ-85040/7546863_zpid/,-112.036,33.4005,337.236,,,1,rental,1050,open,,,2015-08-12,South Mountain,151,PH
"3028 N 48th Ave, Phoenix, AZ 85031",3,2,1884,zillow_ph,http://www.zillow.com/homedetails/3028-N-48th-Ave-Phoenix-AZ-85031/7510176_zpid/,-112.162,33.4834,332.216,,,1,rental,940,open,,,2015-08-17,Maryvale,208,PH
"5244 S 3rd St, Phoenix, AZ 85040",2,1,924,zillow_ph,http://www.zillow.com/homedetails/5244-S-3rd-St-Phoenix-AZ-85040/2122630787_zpid/,-112.07,33.398,332.958,,,1,rental,765,open,,,2015-08-10,South Mountain,151,PH
"1805 W Straight Arrow Ln, Phoenix, AZ 85085",3,2,2214,zillow_ph,http://www.zillow.com/homedetails/1805-W-Straight-Arrow-Ln-Phoenix-AZ-85085/95176387_zpid/,-112.098,33.7333,473.322,,,1,rental,2050,open,,,2015-08-21,North Gateway,219,PH
"2942 W Montebello Ave, Phoenix, AZ 85017",3,2,1407,zillow_ph,http://www.zillow.com/homedetails/2942-W-Montebello-Ave-Phoenix-AZ-85017/7762917_zpid/,-112.123,33.5206,353.727,,,1,rental,999,open,,,2015-08-16,Alahambra,201,PH
