"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"205 Beacon Street","Glen Park",4,3.0,6000,True,1410937200.0,"Climb SF"
"301 Main Street #5C","South Beach",2,2.5,7000,True,1410937200.0,"Climb SF"
"301 Main Street #4F","South Beach",1,1.0,3575,True,1410246000.0,"Climb SF"
"3664 19th Street","Mission Dolores",2,1.0,4800,True,1410246000.0,"Climb SF"
"750 Van Ness Avenue #203","Van Ness-Civic Center",1,1.0,3100,True,1410246000.0,"Climb SF"
"863 Indiana Street","Central Waterfront",1,1.5,3800,True,1409209200.0,"Climb SF"
"50 Lansing Street #305","South Beach",2,2.0,4175,True,1408431600.0,"Climb SF"
"1737 Beach Street","Marina",3,3.5,8500,True,1408431600.0,"Climb SF"
"1515 15th Street","Inner Mission",0,1.0,3000,True,1408431600.0,"Climb SF"
"1310 Minnesota Street #203","Central Waterfront",1,2.0,3300,True,1408431600.0,"Climb SF"
"250 King Street #604","Mission Bay",0,1.0,2975,True,1407913200.0,"Climb SF"
"451 Kansas Street #436 ","Potrero Hill",0,1.0,2700,True,1407826800.0,"Climb SF"
"163 Liberty Street","Noe Valley",3,2.5,7500,True,1407826800.0,"Climb SF"
"136 Cole Street","North Panhandle",2,1.0,4450,True,1407826800.0,"Climb SF"
"555 4th Street #930","South Beach",1,1.0,3475,True,1407826800.0,"Climb SF"
"1735 Beach Street","Marina",2,2.5,7400,True,1407740400.0,"Climb SF"
"420 Mission Bay Boulevard North #308","Mission Bay",2,2.0,4975,True,1407481200.0,"Climb SF"
"425 1st Street #3205","Rincon Hill",1,1.0,3700,True,1407481200.0,"Climb SF"
"451 Kansas Street #362","Potrero Hill",1,1.0,3750,True,1406876400.0,"Climb SF"
"717 San Bruno Avenue","Potrero Hill",2,1.0,3800,True,1406530800.0,"Climb SF"
"338 Spear Street #17G","South Beach",1,1.0,3650,True,1405926000.0,"Climb SF"
"1788 Clay Street #701","Nob Hill",1,1.0,3900,True,1405407600.0,"Climb SF"
"1839 Jefferson Street","Marina",2,2.5,6400,True,1405321200.0,"Climb SF"
"461 2nd St. #557T","South Beach",1,1.5,6750,True,1405321200.0,"Climb SF"
"935 Union Street","Russian Hill",2,3.5,5450,True,1405321200.0,"Climb SF"
"1782 Quint Street","Portola",3,2.0,3600,True,1404716400.0,"Climb SF"
"1047 Mississippi Street #7","Potrero Hill",1,1.5,3450,True,1404284400.0,"Climb SF"
"325 Berry Street #710","Mission Bay",1,1.5,3600,True,1404198000.0,"Climb SF"
"1945 Jackson Street","Pacific Heights",3,1.5,5975,True,1404111600.0,"Climb SF"
"181 O'Farrell Street #502","Downtown San Francisco",1,1.5,4000,True,1403593200.0,"Climb SF"
"555 Fourth Street #928","South Beach",1,1.0,3500,True,1403334000.0,"Climb SF"
"301 Mission Street #14D ","South Beach",1,1.0,2950,True,1403247600.0,"Climb SF"
"425 First Street #3807","South Beach",1,1.0,4200,True,1403247600.0,"Climb SF"
"2 Mint Plaza #203","SOMA",0,1.0,2775,True,1403247600.0,"Climb SF"
"425 1st Street #4404","Rincon Hill",1,1.0,3750,True,1402988400.0,"Climb SF"
"301 Crescent Court #3107","Candlestick Point",2,2.0,2850,True,1402988400.0,"Climb SF"
"1661 18th Street","Potrero Hill",2,2.0,4400,True,1402988400.0,"Climb SF"
"338 Spear Street #35C","South Beach",3,3.0,7800,True,1402556400.0,"Climb SF"
"229 Brannan Street #17C","South Beach",2,2.0,5900,True,1402470000.0,"Climb SF"
"101 Marina Boulevard","Marina",3,3.5,9800,True,1402470000.0,"Climb SF"
"330 Mississippi Street","Potrero Hill",3,2.0,5900,True,1401865200.0,"Climb SF"
"767 Bryant Street #403","SOMA",2,2.0,5800,True,1401692400.0,"Climb SF"
"501 Crescent Way #5107","Candlestick Point",2,2.0,2800,True,1401692400.0,"Climb SF"
"400 Beale Street #706","South Beach",2,1.0,3825,True,1400569200.0,"Climb SF"
"306 Eureka Street","Eureka Valley-Dolores Heights",1,1.0,3250,True,1400569200.0,"Climb SF"
"240 Lombard Street #435","North Waterfront",0,1.0,2500,True,1400569200.0,"Climb SF"
"8 Buchanan Street #600","Hayes Valley",2,1.0,4000,True,1399964400.0,"Climb SF"
"250 King Street #553","Mission Bay",0,1.0,2975,True,1399964400.0,"Climb SF"
"400 Beale Street #1312","South Beach",2,2.0,3975,True,1399878000.0,"Climb SF"
"1328 Mission Street #5","SOMA",1,1.5,3600,True,1399359600.0,"Climb SF"
"260 King Street #907","Mission Bay",1,1.0,3650,True,1398668400.0,"Climb SF"
"155 Wood Street #155","Lone Mountain",3,2.0,4200,True,1398409200.0,"Climb SF"
"301 Main Street #14F","South Beach",2,2.0,5950,True,1398150000.0,"Climb SF"
"74 New Montgomery Street #416","Yerba Buena",2,2.0,4500,True,1398150000.0,"Climb SF"
"1160 Mission Street #2303","SOMA",1,1.0,3600,True,1397545200.0,"Climb SF"
"1325 Indiana Street #308","Potrero Hill",1,2.0,3500,True,1397545200.0,"Climb SF"
"301 Main Street #4G","South Beach",2,2.0,4800,True,1397026800.0,"Climb SF"
"814 Hayes Street #2","Hayes Valley",3,2.5,5000,True,1397026800.0,"Climb SF"
"301 Main Street #3B","South Beach",2,2.0,5975,True,1397026800.0,"Climb SF"
"225 Grandview Avenue","Noe Valley",3,2.0,9500,True,1397026800.0,"Climb SF"
"One Hawthorne Street #2H","SOMA",2,2.0,5400,True,1396594800.0,"Climb SF"
"260 King Street #479","Mission Bay",2,2.0,4250,True,1396508400.0,"Climb SF"
"50 Lansing St. #406","Rincon Hill",2,2.0,4200,True,1396335600.0,"Climb SF"
"325 Berry Street #502","Mission Bay",2,2.0,5900,True,1395730800.0,"Climb SF"
"388 Townsend Street #4","SOMA",1,2.0,3700,True,1395730800.0,"Climb SF"
"88 King Street #106","South Beach",2,2.0,4750,True,1395730800.0,"Climb SF"
"200 Brannan Street #323","South Beach",1,1.0,3400,True,1395126000.0,"Climb SF"
"400 Beale Street #911","South Beach",2,2.0,3950,True,1395126000.0,"Climb SF"
"655 Fifth Street #1","SOMA",1,2.0,3600,True,1394521200.0,"Climb SF"
"301 Main Street #23F","South Beach",2,2.0,5500,True,1394521200.0,"Climb SF"
"300 Ivy Street #403","Hayes Valley",1,1.0,3500,True,1394434800.0,"Climb SF"
"1837 Jefferson Street ","Marina",2,2.5,6200,True,1393920000.0,"Climb SF"
"1536 Pacific Avenue #5","Nob Hill",2,2.0,6000,True,1393488000.0,"Climb SF"
"435 China Basin Street #441","Mission Bay",2,2.0,4900,True,1393315200.0,"Climb SF"
"301 Main Street #10C","South Beach",1,1.0,3900,True,1393056000.0,"Climb SF"
"701 Minnesota Street #119","Central Waterfront",1,1.0,3300,True,1392969600.0,"Climb SF"
"435 China Basin Street #634","Mission Bay",2,2.0,5475,True,1392710400.0,"Climb SF"
"1600 Webster Street #308","Lower Pacific Heights",1,1.0,3200,True,1392710400.0,"Climb SF"
"300 Ivy Street #503","Hayes Valley",1,1.0,3500,True,1392710400.0,"Climb SF"
"425 1st Street #1608","Rincon Hill",1,1.0,3800,True,1392364800.0,"Climb SF"
"301 Main Street #25E","South Beach",2,2.0,5800,True,1392192000.0,"Climb SF"
"200 Brannan Street #314","South Beach",1,1.0,3500,True,1391587200.0,"Climb SF"
