,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
401,"Vallejo St San Francisco, CA 94133",2,1,825,zillow_sf,http://www.zillow.com/homedetails/Vallejo-St-San-Francisco-CA-94133/2104055531_zpid/,-122.41,6000,,2015-04-22,North Beach,-1710.61781037,4289.38218963
473,"2539 Clay St APT 5, San Francisco, CA 94115",2,2,1550,zillow_sf,http://www.zillow.com/homedetails/2539-Clay-St-APT-5-San-Francisco-CA-94115/15074539_zpid/,-122.435,7995,,2015-09-22,Pacific Heights,-1755.59412893,6239.40587107
54,"16 Flint St, San Francisco, CA 94114",3,2,1401,zillow_sf,http://www.zillow.com/homedetails/16-Flint-St-San-Francisco-CA-94114/15127139_zpid/,-122.437,7500,,2015-09-15,Corona Heights,-1756.94290287,5743.05709713
570,88 King Street #904,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-904/,-122.389,6250,2013-07-09,,South Beach,-1773.68334271,4476.31665729
762,"Bluxome St San Francisco, CA 94107",2,2,1763,zillow_sf,http://www.zillow.com/homedetails/Bluxome-St-San-Francisco-CA-94107/2101385648_zpid/,-122.398,8000,,2015-08-25,South of Market,-1806.50314464,6193.49685536
658,401 Harrison Street #3803,2,2,1339,climbsf_rented,http://www.climbsf.com/for-rent/401-harrison-st-3803/,-122.392,7225,2015-03-09,,South Beach,-1808.61602643,5416.38397357
572,338 Spear Street #39A,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-39a/,-122.391,6700,2013-08-01,,South Beach,-1864.69388432,4835.30611568
135,301 Mission Street #29F,2,2,1601,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-29f/,-122.396,7975,2014-12-08,,Yerba Buena,-1878.55748985,6096.44251015
392,"1314 Dolores St, San Francisco, CA 94110",3,1,1200,zillow_sf,http://www.zillow.com/homedetails/1314-Dolores-St-San-Francisco-CA-94110/89237789_zpid/,-122.425,6990,,2015-09-04,Noe Valley,-1937.67525004,5052.32474996
854,"Broadway San Francisco, CA 94109",3,2,1300,zillow_sf,http://www.zillow.com/homedetails/Broadway-San-Francisco-CA-94109/2108502917_zpid/,-122.422,7880,,2015-09-01,Nob Hill,-1945.41339424,5934.58660576
