,address,ypred,list,gain-loss,rent,cap rate
7389748,"2757 E Chipman Rd, Phoenix, AZ 85040 ",120903.78125,88500,32403.78125,3064.455322265625,0.41551937676553674
1342611,"4442 W Palmaire Ave, Glendale, AZ 85301 ",142251.125,109900,32351.125,4439.701171875,0.4847717385122839
239352,"17241 N 16th Dr, Phoenix, AZ 85023 ",127350.953125,95000,32350.953125,4718.021484375,0.5959606085526316
318411,"1011 W Indianola Ave, Phoenix, AZ 85013",127350.953125,95000,32350.953125,4718.021484375,0.5959606085526316
323284,"5334 N 3rd Ave, Phoenix, AZ 85013",127350.953125,95000,32350.953125,3240.236572265625,0.4092930509868421
1862972,"3639 W Granada Rd, Phoenix, AZ 85009",157317.40625,125000,32317.40625,3420.900634765625,0.32840646875
7405465,"2202 W Glenrosa Ave, Phoenix, AZ 85015 ",117215.0390625,84900,32315.0390625,7512.095703125,1.0617803113957598
793219,"2203 E Granite Cir, Mesa, AZ 85204 ",152215.046875,120000,32215.046875,4718.021484375,0.4718021484375
36399,"4131 S 4th St, Phoenix, AZ 85040 ",110085.328125,77900,32185.328125,3064.455322265625,0.4720598824614891
1152348,"12810 N 115th Ave, El Mirage, AZ 85335",122038.453125,90000,32038.453125,4718.021484375,0.62906953125
573490,"2745 N Wright Way, Mesa, AZ 85215",130475.953125,98500,31975.953125,3240.236572265625,0.3947496430837563
1356864,"7507 N 47th Ln, Glendale, AZ 85301 ",100524.5625,68700,31824.5625,5784.916015625,1.0104656795851528
422156,"6526 W Mission Ln, Glendale, AZ 85302 ",126807.4296875,95000,31807.4296875,4439.701171875,0.5608043585526316
345506,"2845 W Pima St, Phoenix, AZ 85009",96696.4375,64900,31796.4375,3420.900634765625,0.6325240153120185
5350079,"12078 N 140th Lane For Rent To Own Only, Surprise, AZ 85379 ",183727.34375,152000,31727.34375,4718.021484375,0.37247538034539474
786904,"1545 E Gable Ave, Mesa, AZ 85204 ",181605.578125,149900,31705.578125,4718.021484375,0.3776935144262842
30194,"1945 W Hadley St, Phoenix, AZ 85009",96696.4375,65000,31696.4375,3064.455322265625,0.5657456129807692
1850387,"10562 W Oakmont Dr, Sun City, AZ 85351",101462.0625,69900,31562.0625,4439.701171875,0.7621804586909872
331543,"10313 N 12th Ave, Phoenix, AZ 85021",134694.703125,103200,31494.703125,4439.701171875,0.5162443223110466
428009,"6123 W Osborn Rd, Phoenix, AZ 85033",113444.703125,82000,31444.703125,4439.701171875,0.6497123666158536
609160,"7563 E Arbor Ave, Mesa, AZ 85208",113913.453125,82500,31413.453125,5784.916015625,0.8414423295454545
7398156,"3530 W Roosevelt St, Phoenix, AZ 85009 ",96305.8125,64900,31405.8125,4439.701171875,0.820900062596302
1858411,"2557 W Berridge Ln, Phoenix, AZ 85017 ",96305.8125,65000,31305.8125,4439.701171875,0.8196371394230769
7386451,"6810 W Devonshire Ave, Phoenix, AZ 85033 ",96305.8125,65000,31305.8125,3240.236572265625,0.5981975360576923
1594967,"331 W Palo Verde Ave, Ajo, AZ 85321",96305.8125,65000,31305.8125,4439.701171875,0.8196371394230769
918317,"22192 W Shadow Dr, Buckeye, AZ 85326 ",216174.953125,184900,31274.953125,4439.701171875,0.2881363659410492
376259,"4973 E Dale Ln, Cave Creek, AZ 85331 ",261227.359375,230000,31227.359375,3240.236572265625,0.1690558254076087
24360,"3842 W Crittenden Ln, Phoenix, AZ 85019",110212.0625,79000,31212.0625,7512.095703125,1.1410778283227847
35980,"3812 S 16th Pl, Phoenix, AZ 85040",110085.328125,78900,31185.328125,45017.796875,6.846813212927756
741198,"2632 E Mallory St, Mesa, AZ 85213",170159.3125,139000,31159.3125,4718.021484375,0.40731120728417264
456224,"4830 W Osborn Rd, Phoenix, AZ 85031",156096.8125,125000,31096.8125,3420.900634765625,0.32840646875
609227,"7750 E Broadway Rd LOT 69, Mesa, AZ 85208",126022.828125,95000,31022.828125,3240.236572265625,0.4092930509868421
7400003,"649 S Power Rd, Mesa, AZ 85206 ",113913.453125,82900,31013.453125,4718.021484375,0.6829464151085646
2083748,"6821 W Devonshire Ave, Phoenix, AZ 85033 ",96305.8125,65300,31005.8125,4718.021484375,0.8670177306661562
5218255,"613 S 83rd Way, Mesa, AZ 85208 ",120903.78125,89900,31003.78125,3240.236572265625,0.4325121228448276
1855899,"17012 N 66th Ter, Glendale, AZ 85308",130869.9296875,99900,30969.9296875,5784.916015625,0.6948848066816817
26356,"11440 S Pawnee Cir, Phoenix, AZ 85044 ",195824.328125,165000,30824.328125,4718.021484375,0.3431288352272727
610010,"8724 E Dewan Ave, Mesa, AZ 85208",109694.703125,78900,30794.703125,4718.021484375,0.7175698075095057
7365385,"10526 W Coggins Dr, Sun City, AZ 85351 ",105710.328125,75000,30710.328125,3240.236572265625,0.5184378645833333
7389777,"3907 S 7th Ave, Phoenix, AZ 85041 ",109694.703125,79000,30694.703125,4718.021484375,0.7166614912974684
135302,"17200 W Bell Rd LOT 984, Surprise, AZ 85374",118180.8125,87500,30680.8125,3240.236572265625,0.4443753125
1073934,"1673 E Oakland St, Chandler, AZ 85225 ",220655.546875,190000,30655.546875,3240.236572265625,0.20464652549342105
89532,"20874 E Via Del Rancho, Queen Creek, AZ 85142 ",215655.546875,185000,30655.546875,5784.916015625,0.3752377956081081
1083847,"297 N Oxford Ct, Chandler, AZ 85225 ",172503.0625,141900,30603.0625,3240.236572265625,0.2740157846634954
278435,"8425 E San Miguel Ave, Scottsdale, AZ 85250",245415.734375,214900,30515.734375,144051.890625,8.043847138203816
1491184,"17246 W Acapulco Ln, Surprise, AZ 85388",168490.671875,138000,30490.671875,7627.79541015625,0.663286571557971
361209,"19029 N 36th St, Phoenix, AZ 85050",200266.546875,169900,30366.546875,7627.79541015625,0.5387495401706887
195307,"3134 W Apollo Rd, Phoenix, AZ 85041 ",153826.109375,123500,30326.109375,7627.79541015625,0.7411623228744939
7365485,"6839 N 29th Ave, Phoenix, AZ 85017 ",142293.15625,112000,30293.15625,9473.4990234375,1.0150177176339286
13985,"2346 E Sylvia St, Phoenix, AZ 85022 ",172737.96875,142500,30237.96875,7627.79541015625,0.6423406798245614
997818,"2122 W Hawken Way, Chandler, AZ 85286",270228.3125,240000,30228.3125,3240.236572265625,0.16201183268229166
18308,"9821 N Balboa Dr, Sun City, AZ 85351",110212.0625,80000,30212.0625,3240.236572265625,0.486035498046875
