address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1554 Tucker St, Oakland, CA 94603",2,2,932,zillow_alameda_county,http://www.zillow.com/homedetails/1554-Tucker-St-Oakland-CA-94603/2100713917_zpid/,-122.164,37.7385,14.4178,,1,1,rental,1975,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"43220 Continental Dr, Fremont, CA 94538",3,2,1112,zillow_alameda_county,http://www.zillow.com/homedetails/43220-Continental-Dr-Fremont-CA-94538/25041265_zpid/,-121.95,37.5187,10.1755,1955,0,1,rental,2900,open,,,2015-10-29,FREMONT,348,BAY_AREA
"21391 Gary Dr, Hayward, CA 94546",2,2,936,zillow_alameda_county,http://www.zillow.com/homedetails/21391-Gary-Dr-Hayward-CA-94546/2114755813_zpid/,-122.09,37.6857,46.7125,,0,1,rental,2150,open,,,2015-10-29,CASTRO VALLEY,333,BAY_AREA
"7732 Cottonwood Ln, Pleasanton, CA 94588",4,4,1682,zillow_alameda_county,http://www.zillow.com/homedetails/7732-Cottonwood-Ln-Pleasanton-CA-94588/25066626_zpid/,-121.92,37.6783,104.688,1966,1,1,rental,2100,open,,,2015-10-30,PLEASANTON,378,BAY_AREA
"38734 Buckboard Cmn, Fremont, CA 94536",4,3,1527,zillow_alameda_county,http://www.zillow.com/homedetails/38734-Buckboard-Cmn-Fremont-CA-94536/25020358_zpid/,-121.971,37.5641,20.6642,1988,0,1,rental,3000,open,,,2015-10-30,FREMONT,348,BAY_AREA
"920 Grand St, Alameda, CA 94501",4,2,2830,zillow_alameda_county,http://www.zillow.com/homedetails/920-Grand-St-Alameda-CA-94501/24861440_zpid/,-122.259,37.7665,8.4193,1907,0,1,rental,5500,open,,,2015-10-30,ALAMEDA,317,BAY_AREA
"920 Grand St, Alameda, CA 94501",4,2,2830,zillow_alameda_county,http://www.zillow.com/homedetails/920-Grand-St-Alameda-CA-94501/24861440_zpid/,-122.259,37.7665,8.4193,1907,0,1,rental,5500,open,,,2015-10-30,BAY AND OCEAN,410,BAY_AREA
"402 Callan Ave, San Leandro, CA 94577",2,1,1156,zillow_alameda_county,http://www.zillow.com/homedetails/402-Callan-Ave-San-Leandro-CA-94577/24877949_zpid/,-122.153,37.7275,20.1686,1981,0,1,rental,2000,open,,,2015-10-30,SAN LEANDRO,390,BAY_AREA
"1921 Clover Ct, Pleasanton, CA 94588",4,4,6191,zillow_alameda_county,http://www.zillow.com/homedetails/1921-Clover-Ct-Pleasanton-CA-94588/25082037_zpid/,-121.907,37.6434,173.85,1999,0,1,rental,7000,open,,,2015-10-30,PLEASANTON,378,BAY_AREA
"1933 Mandan Ct, Fremont, CA 94539",5,3,3241,zillow_alameda_county,http://www.zillow.com/homedetails/1933-Mandan-Ct-Fremont-CA-94539/25028802_zpid/,-121.933,37.5063,22.0759,1995,0,1,rental,5500,open,,,2015-10-30,FREMONT,348,BAY_AREA
"1625 Hollyhock St, Livermore, CA 94551",2,2,1280,zillow_alameda_county,http://www.zillow.com/homedetails/1625-Hollyhock-St-Livermore-CA-94551/24940711_zpid/,-121.742,37.7138,154.335,1963,1,1,rental,2250,open,,,2015-10-30,LIVERMORE,356,BAY_AREA
"965 Shorepoint Ct APT 308, Alameda, CA 94501",2,2,995,zillow_alameda_county,http://www.zillow.com/homedetails/965-Shorepoint-Ct-APT-308-Alameda-CA-94501/24869333_zpid/,-122.269,37.7628,3.84559,1971,0,3,rental,2500,open,,,2015-10-30,ALAMEDA,317,BAY_AREA
"965 Shorepoint Ct APT 308, Alameda, CA 94501",2,2,995,zillow_alameda_county,http://www.zillow.com/homedetails/965-Shorepoint-Ct-APT-308-Alameda-CA-94501/24869333_zpid/,-122.269,37.7628,3.84559,1971,0,3,rental,2500,open,,,2015-10-30,BAY AND OCEAN,410,BAY_AREA
"294 Arroyo Ave, San Leandro, CA 94577",3,1,1400,zillow_alameda_county,http://www.zillow.com/homedetails/294-Arroyo-Ave-San-Leandro-CA-94577/24874738_zpid/,-122.159,37.7261,17.1123,1922,0,1,rental,2650,open,,,2015-10-30,SAN LEANDRO,390,BAY_AREA
"22105 W Lyndon Loop, Castro Valley, CA 94552",4,3,2240,zillow_alameda_county,http://www.zillow.com/homedetails/22105-W-Lyndon-Loop-Castro-Valley-CA-94552/24917941_zpid/,-122.022,37.713,250.506,2000,1,1,rental,3550,open,,,2015-10-30,CASTRO VALLEY,333,BAY_AREA
"3023 Badger Dr, Pleasanton, CA 94566",3,2,1651,zillow_alameda_county,http://www.zillow.com/homedetails/3023-Badger-Dr-Pleasanton-CA-94566/25084356_zpid/,-121.85,37.6676,115.09,1989,0,1,rental,3550,open,,,2015-10-30,PLEASANTON,378,BAY_AREA
"955 Shorepoint Ct APT 109, Alameda, CA 94501",1,1,773,zillow_alameda_county,http://www.zillow.com/homedetails/955-Shorepoint-Ct-APT-109-Alameda-CA-94501/24869361_zpid/,-122.269,37.7628,3.84559,1971,0,1,rental,2300,open,,,2015-10-30,ALAMEDA,317,BAY_AREA
"955 Shorepoint Ct APT 109, Alameda, CA 94501",1,1,773,zillow_alameda_county,http://www.zillow.com/homedetails/955-Shorepoint-Ct-APT-109-Alameda-CA-94501/24869361_zpid/,-122.269,37.7628,3.84559,1971,0,1,rental,2300,open,,,2015-10-30,BAY AND OCEAN,410,BAY_AREA
"2709 10th St APT B, Berkeley, CA 94710",2,2,1563,zillow_alameda_county,http://www.zillow.com/homedetails/2709-10th-St-APT-B-Berkeley-CA-94710/64965980_zpid/,-122.289,37.8575,15.3676,2004,0,1,rental,4495,open,,,2015-10-30,BERKELEY,327,BAY_AREA
"659 39th St, Oakland, CA 94609",4,2,1564,zillow_alameda_county,http://www.zillow.com/homedetails/659-39th-St-Oakland-CA-94609/24748618_zpid/,-122.269,37.8289,22.0986,1911,0,1,rental,2950,open,,,2015-10-30,OAKLAND,369,BAY_AREA
"17375 Robey Dr, Castro Valley, CA 94546",3,1,1200,zillow_alameda_county,http://www.zillow.com/homedetails/17375-Robey-Dr-Castro-Valley-CA-94546/24894508_zpid/,-122.099,37.6925,72.3041,1958,0,1,rental,2600,open,,,2015-10-30,CASTRO VALLEY,333,BAY_AREA
