address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"135 Whitney St, San Francisco, CA 94131",4,3,2900,zillow_sf,http://www.zillow.com/homedetails/135-Whitney-St-San-Francisco-CA-94131/15183977_zpid/,-122.427,37.7392,83.2013,2010,0,rental,10000,closed,22,2015-10-07,2015-09-15,Glen Park,23,SF
"2812 Diamond St, San Francisco, CA 94131",1,1,0,zillow_sf,http://www.zillow.com/homedetails/2812-Diamond-St-San-Francisco-CA-94131/2101095556_zpid/,-122.434,37.7343,58.8953,,0,rental,3000,closed,3,2015-10-04,2015-10-01,Glen Park,23,SF
"Hiliritas Ave San Francisco, CA 94131",3,2,0,zillow_sf,http://www.zillow.com/homedetails/Hiliritas-Ave-San-Francisco-CA-94131/2101192164_zpid/,-122.438,37.7378,128.486,,0,rental,5200,closed,11,2015-10-04,2015-09-23,Glen Park,23,SF
"117 Topaz Way, San Francisco, CA 94131",3,2,2050,zillow_sf,http://www.zillow.com/homedetails/117-Topaz-Way-San-Francisco-CA-94131/15199979_zpid/,-122.436,37.7411,176.492,1978,0,rental,5990,open,,,2015-10-07,Glen Park,23,SF
2035 9th Avenue,2,1,1200,climbsf_rented,http://www.climbsf.com/for-rent/2035-9th-ave/,-122.466,37.7503,193.474,,,rental,4600,closed,,2015-01-26,,Golden Gate Heights,24,SF
"1922 Funston Ave, San Francisco, CA 94116",5,4,2432,zillow_sf,http://www.zillow.com/homedetails/1922-Funston-Ave-San-Francisco-CA-94116/15115085_zpid/,-122.469,37.7522,223.557,1955,0,rental,6995,closed,13,2015-10-07,2015-09-24,Golden Gate Heights,24,SF
"15th Ave San Francisco, CA 94116",4,3,0,zillow_sf,http://www.zillow.com/homedetails/15th-Ave-San-Francisco-CA-94116/2101270883_zpid/,-122.472,37.7526,157.779,,,rental,5500,open,,,2015-08-29,Golden Gate Heights,24,SF
"62 Cragmont Ave, San Francisco, CA 94116",3,2,1800,zillow_sf,http://www.zillow.com/homedetails/62-Cragmont-Ave-San-Francisco-CA-94116/15115392_zpid/,-122.467,37.7501,216.689,1954,0,rental,6495,open,,,2015-10-10,Golden Gate Heights,24,SF
"60 Cragmont Ave, San Francisco, CA 94116",3,3,2300,zillow_sf,http://www.zillow.com/homedetails/60-Cragmont-Ave-San-Francisco-CA-94116/15115394_zpid/,-122.467,37.7502,216.359,1967,0,rental,7400,closed,23,2015-10-07,2015-09-14,Golden Gate Heights,24,SF
"1639 15th Ave, San Francisco, CA 94122",4,2,2281,zillow_sf,http://www.zillow.com/homedetails/1639-15th-Ave-San-Francisco-CA-94122/15109577_zpid/,-122.473,37.7569,152.94,1977,1,rental,5680,open,,,2015-09-22,Golden Gate Heights,24,SF
"2020 9th Ave, San Francisco, CA 94116",3,2,1650,zillow_sf,http://www.zillow.com/homedetails/2020-9th-Ave-San-Francisco-CA-94116/15115298_zpid/,-122.465,37.7505,185.936,1952,1,rental,7500,open,,,2015-10-02,Golden Gate Heights,24,SF
"11th Ave San Francisco, CA 94122",3,2,2105,zillow_sf,http://www.zillow.com/homedetails/11th-Ave-San-Francisco-CA-94122/2101246371_zpid/,-122.469,37.7659,72.8103,,,rental,7000,open,,,2015-09-01,Golden Gate Park,25,SF
"1110 Page St, San Francisco, CA 94117",4,2,2888,zillow_sf,http://www.zillow.com/homedetails/1110-Page-St-San-Francisco-CA-94117/69819012_zpid/,-122.439,37.7722,77.8671,,,rental,9900,open,,,2015-08-11,Haight Ashbury,26,SF
"1134 Masonic Ave, San Francisco, CA 94117",2,1,1650,zillow_sf,http://www.zillow.com/homedetails/1134-Masonic-Ave-San-Francisco-CA-94117/89240074_zpid/,-122.445,37.7707,85.5742,,,rental,6000,open,,,2015-08-14,Haight Ashbury,26,SF
"443 Cole St, San Francisco, CA 94117",3,2,2200,zillow_sf,http://www.zillow.com/homedetails/443-Cole-St-San-Francisco-CA-94117/59700229_zpid/,-122.451,37.771,83.3993,1900,1,rental,6400,closed,106,2015-10-07,2015-06-23,Haight Ashbury,26,SF
"136A Belvedere St, San Francisco, CA 94117",4,2,1600,zillow_sf,http://www.zillow.com/homedetails/136A-Belvedere-St-San-Francisco-CA-94117/15087102_zpid/,-122.449,37.768,97.3549,,,rental,9000,open,,,2015-08-30,Haight Ashbury,26,SF
55 Page Street #814,1,1,865,climbsf_rented,http://www.climbsf.com/for-rent/55-page-street-814/,-122.422,37.774,13.962,,,rental,3200,closed,,2011-12-20,,Hayes Valley,27,SF
300 Ivy Street #403,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-403/,-122.423,37.7774,20.4928,,,rental,3500,closed,,2015-10-04,,Hayes Valley,27,SF
539 Octavia Street #17,0,1,322,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-17/,-122.425,37.7773,21.7199,,,rental,2375,closed,,2015-01-27,,Hayes Valley,27,SF
539 Octavia Street #13,0,1,280,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-13/,-122.425,37.7773,21.7199,,,rental,1995,closed,,2015-02-01,,Hayes Valley,27,SF
539 Octavia Street #4,0,1,300,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-4/,-122.425,37.7773,21.7199,,,rental,1950,closed,,2015-02-16,,Hayes Valley,27,SF
539 Octavia Street #9,0,1,180,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-9/,-122.425,37.7773,21.7199,,,rental,1500,closed,,2015-03-18,,Hayes Valley,27,SF
539 Octavia Street #11,0,1,200,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-11/,-122.425,37.7773,21.7199,,,rental,1600,closed,,2015-03-30,,Hayes Valley,27,SF
539 Octavia Street #12,0,1,240,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-12/,-122.425,37.7773,21.7199,,,rental,1800,closed,,2015-04-16,,Hayes Valley,27,SF
300 Ivy Street #500,2,2,1075,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-500/,-122.423,37.7774,20.4928,,,rental,4900,closed,,2015-04-21,,Hayes Valley,27,SF
539 Octavia Street #14,0,1,221,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-14/,-122.425,37.7773,21.7199,,,rental,1850,closed,,2015-05-14,,Hayes Valley,27,SF
539 Octavia Street #8,0,1,180,climbsf_renting,http://www.climbsf.com/for-rent/539-octavia-st-8/,-122.425,37.7773,21.7199,,,rental,1650,closed,8,2015-08-31,2015-08-23,Hayes Valley,27,SF
539 Octavia Street #3,0,1,240,climbsf_renting,http://www.climbsf.com/for-rent/539-octavia-st-3/,-122.425,37.7773,21.7199,,,rental,1950,closed,8,2015-08-31,2015-08-23,Hayes Valley,27,SF
55 Page Street #518,0,1,401,climbsf_renting,http://www.climbsf.com/for-rent/55-page-st-518/,-122.422,37.774,13.962,,,rental,3000,closed,23,2015-09-15,2015-08-23,Hayes Valley,27,SF
300 Ivy Street #503,1,1,0,climbsf_renting,http://www.climbsf.com/for-rent/300-ivy-st-503/,-122.423,37.7774,20.4928,,,rental,3825,closed,,2015-10-04,,Hayes Valley,27,SF
"635 Waller St, San Francisco, CA 94117",2,1,1357,zillow_sf,http://www.zillow.com/homedetails/635-Waller-St-San-Francisco-CA-94117/82785584_zpid/,-122.434,37.7705,54.3218,1895,0,rental,5200,closed,9,2015-10-07,2015-09-28,Hayes Valley,27,SF
"Buchanan St San Francisco, CA 94102",1,1,0,zillow_sf,http://www.zillow.com/homedetails/Buchanan-St-San-Francisco-CA-94102/2104312804_zpid/,-122.427,37.7739,46.1944,2014,0,rental,5000,closed,37,2015-10-04,2015-08-28,Hayes Valley,27,SF
"Webster St San Francisco, CA 94117",4,2,2000,zillow_sf,http://www.zillow.com/homedetails/Webster-St-San-Francisco-CA-94117/2103580027_zpid/,-122.43,37.7775,31.6568,,,rental,10499,open,,,2015-01-28,Hayes Valley,27,SF
"616 Page St, San Francisco, CA 94117",3,1,1645,zillow_sf,http://www.zillow.com/homedetails/616-Page-St-San-Francisco-CA-94117/2101343859_zpid/,-122.431,37.7731,61.8035,,0,rental,7000,closed,47,2015-10-07,2015-08-21,Hayes Valley,27,SF
"Scott St San Francisco, CA 94117",2,1,1400,zillow_sf,http://www.zillow.com/homedetails/Scott-St-San-Francisco-CA-94117/2106094861_zpid/,-122.436,37.7736,57.8517,,0,rental,5900,closed,447,2015-10-04,2014-07-14,Hayes Valley,27,SF
"46 Potomac St, San Francisco, CA 94117",2,1,1350,zillow_sf,http://www.zillow.com/homedetails/46-Potomac-St-San-Francisco-CA-94117/2101230147_zpid/,-122.433,37.77,49.688,,,rental,5000,open,,,2015-09-02,Hayes Valley,27,SF
"610 Waller St, San Francisco, CA 94117",2,1,0,zillow_sf,http://www.zillow.com/homedetails/610-Waller-St-San-Francisco-CA-94117/2101207449_zpid/,-122.434,37.7707,50.5041,,,rental,4300,closed,29,2015-10-03,2015-09-04,Hayes Valley,27,SF
"185 Franklin St, San Francisco, CA 94102",2,1,900,zillow_sf,http://www.zillow.com/homedetails/185-Franklin-St-San-Francisco-CA-94102/2101118127_zpid/,-122.421,37.7758,17.7048,,,rental,3200,closed,5,2015-10-03,2015-09-28,Hayes Valley,27,SF
539 Octavia Street #19,0,1,190,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-19/,-122.425,37.7773,21.7199,,,rental,1700,closed,,2015-09-09,,Hayes Valley,27,SF
55 Page Street #614,1,1,865,climbsf_renting,http://www.climbsf.com/for-rent/55-page-st-614/,-122.422,37.774,13.962,,,rental,4475,closed,13,2015-10-10,2015-09-27,Hayes Valley,27,SF
121 Steiner Street,3,1,1600,climbsf_renting,http://www.climbsf.com/for-rent/121-steiner-st/,-122.432,37.7703,48.3507,,,rental,6500,closed,11,2015-10-10,2015-09-29,Hayes Valley,27,SF
"139 Steiner St # A, San Francisco, CA 94117",3,2,1000,zillow_sf,http://www.zillow.com/homedetails/139-Steiner-St-A-San-Francisco-CA-94117/2108568579_zpid/,-122.432,37.7704,48.0621,2008,0,rental,6200,open,,,2015-09-22,Hayes Valley,27,SF
"1415 Hudson Ave, San Francisco, CA 94124",3,2,0,zillow_sf,http://www.zillow.com/homedetails/1415-Hudson-Ave-San-Francisco-CA-94124/2101576020_zpid/,-122.385,37.7381,28.9279,,,rental,6500,open,,,2015-08-11,Hunters Point 0,28,SF
"Friedell St San Francisco, CA 94124",3,3,0,zillow_sf,http://www.zillow.com/homedetails/Friedell-St-San-Francisco-CA-94124/2101015294_zpid/,-122.37,37.7281,27.1471,,,rental,4375,closed,6,2015-10-03,2015-09-27,Hunters Point 0,28,SF
252 Granada Avenue,2,2,1600,climbsf_rented,http://www.climbsf.com/for-rent/252-granada-ave/,-122.457,37.723,93.974,,,rental,3950,closed,,2015-07-21,,Ingleside,30,SF
"44 Ashton Ave, San Francisco, CA 94112",3,1,1250,zillow_sf,http://www.zillow.com/homedetails/44-Ashton-Ave-San-Francisco-CA-94112/15190491_zpid/,-122.462,37.719,143.477,1948,0,rental,4750,open,,,2015-09-29,Ingleside,30,SF
"374 Victoria St, San Francisco, CA 94132",3,1,1350,zillow_sf,http://www.zillow.com/homedetails/374-Victoria-St-San-Francisco-CA-94132/15193169_zpid/,-122.465,37.7175,141.75,,,rental,2850,open,,,2012-09-24,Ingleside Heights,31,SF
"3981 Alemany Blvd, San Francisco, CA 94132",2,2,1014,zillow_sf,http://www.zillow.com/homedetails/3981-Alemany-Blvd-San-Francisco-CA-94132/2121453845_zpid/,-122.469,37.7104,72.0073,,,rental,3500,open,,,2015-08-27,Ingleside Heights,31,SF
"8400 Oceanview Ter APT 216, San Francisco, CA 94132",1,1,514,zillow_sf,http://www.zillow.com/homedetails/8400-Oceanview-Ter-APT-216-San-Francisco-CA-94132/67394905_zpid/,-122.468,37.7098,78.519,,,rental,2400,open,,,2015-09-21,Ingleside Heights,31,SF
"8400 Oceanview Ter APT 112, San Francisco, CA 94132",1,1,669,zillow_sf,http://www.zillow.com/homedetails/8400-Oceanview-Ter-APT-112-San-Francisco-CA-94132/67394982_zpid/,-122.468,37.7098,78.519,2002,0,rental,2500,open,,,2015-09-28,Ingleside Heights,31,SF
"El Plazuela St San Francisco Ca San Francisco, CA 94127",1,1,500,zillow_sf,http://www.zillow.com/homedetails/El-Plazuela-St-San-Francisco-Ca-San-Francisco-CA-94127/2101448349_zpid/,-122.471,37.7276,69.9077,,,rental,2995,open,,,2015-08-10,Ingleside Terrace,32,SF
"Junipero Serra Blvd San Francisco, CA 94127",3,4,1888,zillow_sf,http://www.zillow.com/homedetails/Junipero-Serra-Blvd-San-Francisco-CA-94127/2101439889_zpid/,-122.472,37.7283,68.5882,,,rental,5495,closed,33,2015-10-04,2015-09-01,Ingleside Terrace,32,SF
555 Bartlett Street #413,2,2,1135,climbsf_rented,http://www.climbsf.com/for-rent/555-bartlett-st-413/,-122.419,37.7484,29.7804,,,rental,4050,closed,,2013-09-10,,Inner Mission,33,SF
2125 Bryant Street #102,2,2,1311,climbsf_rented,http://www.climbsf.com/for-rent/2125-bryant-st-102/,-122.41,37.7593,6.89281,,,rental,5300,closed,,2013-12-17,,Inner Mission,33,SF
1515 15th Street,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/1515-15th-st/,-122.418,37.7666,6.28037,,,rental,3000,closed,,2015-10-04,,Inner Mission,33,SF
2125 Bryant Street #303,1,1,730,climbsf_rented,http://www.climbsf.com/for-rent/2125-bryant-st-303/,-122.41,37.7593,6.89281,,,rental,3450,closed,,2014-10-08,,Inner Mission,33,SF
2633 Harrison St.,2,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/2633-harrison-st/,-122.412,37.7552,14.5822,,,rental,4600,closed,,2014-10-14,,Inner Mission,33,SF
720 York Street #214,1,1,700,climbsf_rented,http://www.climbsf.com/for-rent/720-york-st-214/,-122.409,37.7596,8.59589,,,rental,3500,closed,,2014-12-02,,Inner Mission,33,SF
45 Bartlett Street #315,1,1,500,climbsf_rented,http://www.climbsf.com/for-rent/45-bartlett-st-315/,-122.42,37.7558,20.5014,,,rental,3000,closed,,2015-04-09,,Inner Mission,33,SF
45 Bartlett Street #706,2,2,905,climbsf_rented,http://www.climbsf.com/for-rent/45-bartlett-st-706/,-122.42,37.7558,20.5014,,,rental,4500,closed,,2015-04-09,,Inner Mission,33,SF
1875 Mission Street #407,1,1,645,climbsf_rented,http://www.climbsf.com/for-rent/1875-mission-st-407/,-122.419,37.7671,8.75175,,,rental,3200,closed,,2015-04-16,,Inner Mission,33,SF
45 Bartlett Street #705,2,2,905,climbsf_rented,http://www.climbsf.com/for-rent/45-bartlett-st-705/,-122.42,37.7558,20.5014,,,rental,4500,closed,,2015-05-07,,Inner Mission,33,SF
45 Bartlett Street #302,1,1,905,climbsf_rented,http://www.climbsf.com/for-rent/45-bartlett-st-302/,-122.42,37.7558,20.5014,,,rental,4100,closed,,2015-05-18,,Inner Mission,33,SF
891 York Street,2,1,900,climbsf_rented,http://www.climbsf.com/for-rent/891-york-st/,-122.409,37.7579,11.6432,,,rental,3400,closed,,2015-06-16,,Inner Mission,33,SF
2101 Bryant Street #205,1,1,900,climbsf_rented,http://www.climbsf.com/for-rent/2101-bryant-st-205/,-122.41,37.7605,8.10185,,,rental,3900,closed,,2015-06-24,,Inner Mission,33,SF
2735 Folsom Street,4,3,1800,climbsf_rented,http://www.climbsf.com/for-rent/2735-folsom-st/,-122.414,37.7535,19.7453,,,rental,11000,closed,,2015-07-21,,Inner Mission,33,SF
163 Capp Street,2,1,720,climbsf_rented,http://www.climbsf.com/for-rent/163-capp-st/,-122.418,37.7641,5.98293,,,rental,3900,closed,,2015-07-27,,Inner Mission,33,SF
555 Bartlett Street #409,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/555-bartlett-st-409/,-122.419,37.7484,29.7804,,,rental,0,closed,,2015-10-04,,Inner Mission,33,SF
345 Bartlett Street,1,1,500,climbsf_renting,http://www.climbsf.com/for-rent/345-bartlett-st/,-122.419,37.7515,28.5096,,,rental,3300,closed,23,2015-09-15,2015-08-23,Inner Mission,33,SF
2130 Harrison Street #20,2,1,0,climbsf_renting,http://www.climbsf.com/for-rent/2130-harrison-st-20/,-122.413,37.7629,1.35629,,,rental,5000,closed,7,2015-10-04,2015-09-27,Inner Mission,33,SF
"20th St San Francisco, CA 94110",3,2,1900,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94110/2104136356_zpid/,-122.416,37.7588,10.3318,,,rental,10000,open,,,2014-12-09,Inner Mission,33,SF
"20th St San Francisco, CA 94110",0,1,0,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94110/2104086315_zpid/,-122.416,37.7588,10.3318,,,rental,3750,open,,,2014-12-12,Inner Mission,33,SF
"2600 18th St, San Francisco, CA 94110",2,2,1636,zillow_sf,http://www.zillow.com/homedetails/2600-18th-St-San-Francisco-CA-94110/2102295925_zpid/,-122.408,37.7621,13.2362,1999,0,rental,6000,closed,9,2015-10-07,2015-09-28,Inner Mission,33,SF
"Capp St San Francisco, CA 94110",5,6,0,zillow_sf,http://www.zillow.com/homedetails/Capp-St-San-Francisco-CA-94110/2101943192_zpid/,-122.418,37.7563,17.7511,,,rental,15000,closed,108,2015-10-04,2015-06-18,Inner Mission,33,SF
"Folsom St San Francisco, CA 94110",4,3,1800,zillow_sf,http://www.zillow.com/homedetails/Folsom-St-San-Francisco-CA-94110/2103430042_zpid/,-122.414,37.7493,22.8167,,,rental,10500,open,,,2015-06-24,Inner Mission,33,SF
"Hoff St San Francisco, CA 94110",3,1,0,zillow_sf,http://www.zillow.com/homedetails/Hoff-St-San-Francisco-CA-94110/2101528217_zpid/,-122.421,37.7642,6.03033,,,rental,6495,open,,,2015-07-31,Inner Mission,33,SF
"Bartlett St San Francisco, CA 94110",3,2,1560,zillow_sf,http://www.zillow.com/homedetails/Bartlett-St-San-Francisco-CA-94110/2101519779_zpid/,-122.42,37.7525,28.4123,,,rental,6500,open,,,2015-08-04,Inner Mission,33,SF
"20th St San Francisco, CA 94110",1,1,900,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94110/2104705655_zpid/,-122.416,37.7588,10.3318,,0,rental,6200,closed,63,2015-10-07,2015-08-05,Inner Mission,33,SF
"2637 Folsom St, San Francisco, CA 94110",0,1,0,zillow_sf,http://www.zillow.com/homedetails/2637-Folsom-St-San-Francisco-CA-94110/2101397488_zpid/,-122.414,37.7551,16.5922,,,rental,2500,open,,,2015-08-14,Inner Mission,33,SF
"730 Florida St, San Francisco, CA 94110",2,3,1590,zillow_sf,http://www.zillow.com/homedetails/730-Florida-St-San-Francisco-CA-94110/2101707211_zpid/,-122.411,37.7599,6.0987,,,rental,5000,open,,,2015-08-14,Inner Mission,33,SF
"1043 Valencia St APT 1, San Francisco, CA 94110",3,2,2300,zillow_sf,http://www.zillow.com/homedetails/1043-Valencia-St-APT-1-San-Francisco-CA-94110/2121384753_zpid/,-122.421,37.7561,25.5778,,,rental,6995,open,,,2015-08-16,Inner Mission,33,SF
"3189 21st St, San Francisco, CA 94110",3,2,0,zillow_sf,http://www.zillow.com/homedetails/3189-21st-St-San-Francisco-CA-94110/2101835054_zpid/,-122.418,37.7569,18.1325,,0,rental,5785,open,,,2015-09-04,Inner Mission,33,SF
2125 Bryant Street #202,1,1,728,climbsf_renting,http://www.climbsf.com/for-rent/2125-bryant-st-202/,-122.41,37.7593,6.89281,,,rental,3700,closed,4,2015-10-01,2015-09-27,Inner Mission,33,SF
"413 Valencia St UNIT 403, San Francisco, CA 94103",2,2,783,zillow_sf,http://www.zillow.com/homedetails/413-Valencia-St-UNIT-403-San-Francisco-CA-94103/123597078_zpid/,-122.422,37.7663,12.0961,,,rental,4950,closed,8,2015-10-12,2015-10-04,Inner Mission,33,SF
"720 York St, San Francisco, CA 94110",1,1,555,zillow_sf,http://www.zillow.com/homedetails/720-York-St-San-Francisco-CA-94110/2101876885_zpid/,-122.409,37.7596,8.59589,1999,0,rental,3995,open,,,2015-10-03,Inner Mission,33,SF
2923 23rd Street #2,5,4,2200,climbsf_renting,http://www.climbsf.com/for-rent/23rd-st-at-alabama-st/,-122.411,37.7541,16.5889,,,rental,11000,open,,,2015-10-09,Inner Mission,33,SF
"625 Quintara St, San Francisco, CA 94116",2,1,1400,zillow_sf,http://www.zillow.com/homedetails/625-Quintara-St-San-Francisco-CA-94116/15118173_zpid/,-122.472,37.7486,162.838,,,rental,4550,open,,,2015-08-21,Inner Parkside,34,SF
"2570 16th Ave, San Francisco, CA 94116",3,2,2000,zillow_sf,http://www.zillow.com/homedetails/2570-16th-Ave-San-Francisco-CA-94116/15123074_zpid/,-122.472,37.74,112.268,1928,0,rental,4700,open,,,2015-09-30,Inner Parkside,34,SF
"1421 Ulloa St, San Francisco, CA 94116",2,1,1375,zillow_sf,http://www.zillow.com/homedetails/1421-Ulloa-St-San-Francisco-CA-94116/15123092_zpid/,-122.472,37.7411,125.218,,,rental,4000,open,,,2015-08-24,Inner Parkside,34,SF
"2202 17th Ave, San Francisco, CA 94116",3,3,1852,zillow_sf,http://www.zillow.com/homedetails/2202-17th-Ave-San-Francisco-CA-94116/15119883_zpid/,-122.474,37.7467,142.124,,,rental,7000,open,,,2015-08-28,Inner Parkside,34,SF
"16th Ave San Francisco, CA 94116",3,2,0,zillow_sf,http://www.zillow.com/homedetails/16th-Ave-San-Francisco-CA-94116/2101154625_zpid/,-122.473,37.745,133.216,,0,rental,9500,closed,23,2015-10-04,2015-09-11,Inner Parkside,34,SF
"2023 17th Ave, San Francisco, CA 94116",2,1,1203,zillow_sf,http://www.zillow.com/homedetails/2023-17th-Ave-San-Francisco-CA-94116/15115600_zpid/,-122.474,37.7501,146.064,1928,0,rental,4550,open,,,2015-09-20,Inner Parkside,34,SF
"11th Ave San Francisco, CA 94118",2,2,1100,zillow_sf,http://www.zillow.com/homedetails/11th-Ave-San-Francisco-CA-94118/2103990577_zpid/,-122.469,37.7805,55.245,,,rental,5200,open,,,2014-12-20,Inner Richmond,35,SF
"(Undisclosed Address) San Francisco, CA 94118",3,3,2200,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94118/2113290978_zpid/,-122.464,37.7823,57.6666,,0,rental,8900,closed,237,2015-10-04,2015-02-09,Inner Richmond,35,SF
"10th Ave San Francisco, CA 94118",3,2,1400,zillow_sf,http://www.zillow.com/homedetails/10th-Ave-San-Francisco-CA-94118/2104136173_zpid/,-122.469,37.7798,57.2283,,,rental,8300,open,,,2015-04-23,Inner Richmond,35,SF
"7th Ave San Francisco, CA 94118",4,2,2000,zillow_sf,http://www.zillow.com/homedetails/7th-Ave-San-Francisco-CA-94118/2108584490_zpid/,-122.465,37.7809,54.7552,,,rental,10500,open,,,2015-07-27,Inner Richmond,35,SF
"735 Market St # 1, San Francisco, CA 94103",2,2,1700,zillow_sf,http://www.zillow.com/homedetails/735-Market-St-1-San-Francisco-CA-94103/2101952159_zpid/,-122.472,37.7743,68.8378,,1,rental,15000,closed,113,2015-10-07,2015-06-16,Inner Richmond,35,SF
"266 5th Ave # 3, San Francisco, CA 94118",3,2,2200,zillow_sf,http://www.zillow.com/homedetails/266-5th-Ave-3-San-Francisco-CA-94118/2132318123_zpid/,-122.463,37.7836,57.8585,2009,1,rental,5000,closed,19,2015-10-07,2015-09-18,Inner Richmond,35,SF
"620 11th Ave, San Francisco, CA 94118",3,1,2340,zillow_sf,http://www.zillow.com/homedetails/620-11th-Ave-San-Francisco-CA-94118/15098209_zpid/,-122.469,37.7766,69.107,,,rental,4950,closed,30,2015-10-03,2015-09-03,Inner Richmond,35,SF
"421 Arguello Blvd APT 202, San Francisco, CA 94118",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/421-Arguello-Blvd-APT-202-San-Francisco-CA-94118/2101118473_zpid/,-122.459,37.7827,63.6203,2012,0,rental,6000,closed,21,2015-10-07,2015-09-16,Inner Richmond,35,SF
"10th Ave San Francisco, CA 94118",2,1,1294,zillow_sf,http://www.zillow.com/homedetails/10th-Ave-San-Francisco-CA-94118/2101097608_zpid/,-122.469,37.7798,57.2283,,,rental,3495,open,,,2015-09-18,Inner Richmond,35,SF
"317 2nd Ave, San Francisco, CA 94118",3,1,1400,zillow_sf,http://www.zillow.com/homedetails/317-2nd-Ave-San-Francisco-CA-94118/15091588_zpid/,-122.46,37.7825,61.8661,1890,0,rental,6000,open,,,2015-10-10,Inner Richmond,35,SF
"3rd Ave San Francisco, CA 94118",4,3,3400,zillow_sf,http://www.zillow.com/homedetails/3rd-Ave-San-Francisco-CA-94118/2100870535_zpid/,-122.461,37.7802,58.6156,,0,rental,13000,open,,,2015-10-12,Inner Richmond,35,SF
"42 Hugo St, San Francisco, CA 94122",1,1,957,zillow_sf,http://www.zillow.com/homedetails/42-Hugo-St-San-Francisco-CA-94122/15102390_zpid/,-122.459,37.7654,89.0639,,,rental,4200,open,,,2015-07-28,Inner Sunset,36,SF
"1544 8th Ave, San Francisco, CA 94122",3,2,1752,zillow_sf,http://www.zillow.com/homedetails/1544-8th-Ave-San-Francisco-CA-94122/15106179_zpid/,-122.465,37.7595,105.23,,,rental,6500,open,,,2015-08-19,Inner Sunset,36,SF
"9th Ave San Francisco, CA 94122",0,1,450,zillow_sf,http://www.zillow.com/homedetails/9th-Ave-San-Francisco-CA-94122/2103580102_zpid/,-122.466,37.7626,82.5523,,,rental,2500,open,,,2015-01-28,Inner Sunset,36,SF
"168 18th Ave, San Francisco, CA 94121",5,4,4500,zillow_sf,http://www.zillow.com/homedetails/168-18th-Ave-San-Francisco-CA-94121/2101426700_zpid/,-122.476,37.7616,76.2994,,,rental,8900,open,,,2015-08-22,Inner Sunset,36,SF
"11th Ave San Francisco, CA 94122",3,2,2105,zillow_sf,http://www.zillow.com/homedetails/11th-Ave-San-Francisco-CA-94122/2101246371_zpid/,-122.469,37.7659,72.8103,,,rental,7000,open,,,2015-09-01,Inner Sunset,36,SF
855 Lincoln Way #3,3,2,1360,climbsf_renting,http://www.climbsf.com/for-rent/855-lincoln-way-3/,-122.467,37.7657,76.874,,,rental,4975,open,,,2015-10-03,Inner Sunset,36,SF
"21 Mayfair Dr, San Francisco, CA 94118",2,1,0,zillow_sf,http://www.zillow.com/homedetails/21-Mayfair-Dr-San-Francisco-CA-94118/2103995739_zpid/,-122.45,37.786,87.2128,,,rental,5300,open,,,2015-09-12,Jordan Park / Laurel Heights,37,SF
"30 Blake St, San Francisco, CA 94118",2,1,1010,zillow_sf,http://www.zillow.com/homedetails/30-Blake-St-San-Francisco-CA-94118/15083575_zpid/,-122.451,37.7832,79.671,1900,0,rental,4500,open,,,2015-09-15,Jordan Park / Laurel Heights,37,SF
"Arguello Blvd San Francisco, CA 94118",3,1,1040,zillow_sf,http://www.zillow.com/homedetails/Arguello-Blvd-San-Francisco-CA-94118/2101126760_zpid/,-122.459,37.7816,64.3418,,,rental,5490,open,,,2015-09-16,Jordan Park / Laurel Heights,37,SF
"421 Arguello Blvd APT 202, San Francisco, CA 94118",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/421-Arguello-Blvd-APT-202-San-Francisco-CA-94118/2101118473_zpid/,-122.459,37.7827,63.6203,2012,0,rental,6000,closed,21,2015-10-07,2015-09-16,Jordan Park / Laurel Heights,37,SF
"145 Collins St, San Francisco, CA 94118",4,1,2400,zillow_sf,http://www.zillow.com/homedetails/145-Collins-St-San-Francisco-CA-94118/15083559_zpid/,-122.451,37.7833,85.0893,1914,0,rental,8500,open,,,2015-09-27,Jordan Park / Laurel Heights,37,SF
