address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"66 Bayview St, San Francisco, CA 94124",3,1,1400,zillow_sf,http://www.zillow.com/homedetails/66-Bayview-St-San-Francisco-CA-94124/15157271_zpid/,-122.394,37.7329,43.5009,1924,0,1,,0.008,82391,rental,3075,closed,,2016-02-01,,Bayview,4,SF
"1439 Underwood Ave, San Francisco, CA 94124",3,2,1741,zillow_sf,http://www.zillow.com/homedetails/1439-Underwood-Ave-San-Francisco-CA-94124/15154226_zpid/,-122.389,37.7279,6.08834,1900,0,1,,0.00985089,50350,rental,2500,closed,14,2012-09-11,2012-08-28,Bayview,4,SF
"1439 Underwood Ave, San Francisco, CA 94124",3,2,1741,zillow_sf,http://www.zillow.com/homedetails/1439-Underwood-Ave-San-Francisco-CA-94124/15154226_zpid/,-122.389,37.7279,6.08834,1900,0,1,,0.00985089,50351,rental,2500,closed,14,2012-09-11,2012-08-28,Bayview,4,SF
"1439 Underwood Ave, San Francisco, CA 94124",3,2,1741,zillow_sf,http://www.zillow.com/homedetails/1439-Underwood-Ave-San-Francisco-CA-94124/15154226_zpid/,-122.389,37.7279,6.08834,1900,0,1,,0.00985089,50352,rental,2750,closed,45,2012-12-21,2012-11-06,Bayview,4,SF
"1439 Underwood Ave, San Francisco, CA 94124",3,2,1741,zillow_sf,http://www.zillow.com/homedetails/1439-Underwood-Ave-San-Francisco-CA-94124/15154226_zpid/,-122.389,37.7279,6.08834,1900,0,1,,0.00985089,50353,rental,2750,closed,45,2012-12-21,2012-11-06,Bayview,4,SF
"1477 Hudson Ave, San Francisco, CA 94124",3,1,1800,zillow_sf,http://www.zillow.com/homedetails/1477-Hudson-Ave-San-Francisco-CA-94124/15155714_zpid/,-122.386,37.7385,17.577,1934,0,1,,0.000494975,68729,rental,3950,closed,31,2016-02-16,2016-01-16,Bayview,4,SF
"1551 La Salle Ave, San Francisco, CA 94124",1,1,1572,zillow_sf,http://www.zillow.com/homedetails/1551-La-Salle-Ave-San-Francisco-CA-94124/15155996_zpid/,-122.388,37.7358,32.2169,1908,0,1,,0.00378021,77552,rental,1750,closed,34,2016-02-24,2016-01-21,Bayview,4,SF
723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,37.7343,37.6665,,,1,,0.00401123,99,rental,3450,closed,,2013-10-22,,Bernal Heights,5,SF
501 Crescent Way #5107,2,2,1057,climbsf_rented,http://www.climbsf.com/for-rent/501-crescent-way-5107/,-122.416,37.735,48.1922,,,51,,0.00316228,165,rental,2800,closed,,2014-06-02,,Bernal Heights,5,SF
1 College Avenue,3,2,1600,climbsf_rented,http://www.climbsf.com/for-rent/1-college-ave/,-122.428,37.7347,60.2336,,,1,,0.0060075,349,rental,5300,closed,,2015-07-08,,Bernal Heights,5,SF
301 Crescent Court #3107,2,2,892,climbsf_renting,http://www.climbsf.com/for-rent/301-crescent-ct-3107/,-122.419,37.7352,63.9895,,,31,,0.0010198,382,rental,3150,closed,4,2015-08-27,2015-08-23,Bernal Heights,5,SF
"212 Cortland Ave, San Francisco, CA 94110",3,2,1200,zillow_sf,http://www.zillow.com/homedetails/212-Cortland-Ave-San-Francisco-CA-94110/15162751_zpid/,-122.419,37.7394,79.8597,,,1,,0.00320156,1928,rental,6500,open,,,2015-08-04,Bernal Heights,5,SF
"339 Elsie St, San Francisco, CA 94110",4,3,1850,zillow_sf,http://www.zillow.com/homedetails/339-Elsie-St-San-Francisco-CA-94110/15162738_zpid/,-122.42,37.7387,86.9865,,,1,,0.0037,1871,rental,7500,open,,,2015-01-14,Bernal Heights,5,SF
"165 Crescent Ave, San Francisco, CA 94110",1,1,560,zillow_sf,http://www.zillow.com/homedetails/165-Crescent-Ave-San-Francisco-CA-94110/15164323_zpid/,-122.421,37.7353,75.2007,,,1,,0.00072111,1921,rental,4000,open,,,2015-07-28,Bernal Heights,5,SF
"142 Gates St, San Francisco, CA 94110",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,-122.414,37.741,87.487,1906,0,1,,0.0013,39690,rental,6900,open,,,2015-08-01,Bernal Heights,5,SF
"142 Gates St, San Francisco, CA 94110",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,-122.414,37.741,87.487,1906,0,1,,0.0013,39695,rental,6000,open,,,2015-08-09,Bernal Heights,5,SF
