address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"2838 S 98th St, Mesa, AZ 85212",2,2,1401,zillow_ph,http://www.zillow.com/homedetails/2838-S-98th-St-Mesa-AZ-85212/50201717_zpid/,-111.624,33.3636,441.879,rental,1395,open,,,2015-10-02,Southeast 0,119,PH
"3060 S Wesley, Mesa, AZ 85212",4,2,2213,zillow_ph,http://www.zillow.com/homedetails/3060-S-Wesley-Mesa-AZ-85212/8278563_zpid/,-111.614,33.3593,443.662,rental,1400,open,,,2015-10-02,Southeast 0,119,PH
"10239 E Javelina Ave, Mesa, AZ 85209",4,2,1843,zillow_ph,http://www.zillow.com/homedetails/10239-E-Javelina-Ave-Mesa-AZ-85209/49925661_zpid/,-111.612,33.3803,456.828,rental,1250,open,,,2015-10-02,Southeast 0,119,PH
"2144 E Oxford Dr, Tempe, AZ 85283",4,2,1848,zillow_ph,http://www.zillow.com/homedetails/2144-E-Oxford-Dr-Tempe-AZ-85283/8250114_zpid/,-111.895,33.3734,364.233,rental,1550,open,,,2015-09-29,Optimist Park Ne,127,PH
"1033 E Hermosa Dr, Tempe, AZ 85282",4,2,1800,zillow_ph,http://www.zillow.com/homedetails/1033-E-Hermosa-Dr-Tempe-AZ-85282/7596353_zpid/,-111.923,33.387,360.569,rental,1550,open,,,2015-09-28,Cyprus Southwest,130,PH
"1954 E Missouri Ave, Phoenix, AZ 85016",3,2,1492,zillow_ph,http://www.zillow.com/homedetails/1954-E-Missouri-Ave-Phoenix-AZ-85016/7809100_zpid/,-112.039,33.5168,357.156,rental,2375,open,,,2015-09-26,Camelback East,133,PH
"1250 E Bethany Home Rd UNIT 23, Phoenix, AZ 85014",1,1,840,zillow_ph,http://www.zillow.com/homedetails/1250-E-Bethany-Home-Rd-UNIT-23-Phoenix-AZ-85014/7797315_zpid/,-112.054,33.5247,359.07,rental,850,closed,2,2015-09-29,2015-09-27,Camelback East,133,PH
"901 E Berridge Ln # A, Phoenix, AZ 85014",2,2,1275,zillow_ph,http://www.zillow.com/homedetails/901-E-Berridge-Ln-A-Phoenix-AZ-85014/2101024683_zpid/,-112.062,33.525,356.571,rental,1195,closed,3,2015-09-29,2015-09-26,Camelback East,133,PH
"3711 E Monterosa St UNIT 5, Phoenix, AZ 85018",2,1,1088,zillow_ph,http://www.zillow.com/homedetails/3711-E-Monterosa-St-UNIT-5-Phoenix-AZ-85018/2105180984_zpid/,-112.001,33.4962,367.827,rental,950,closed,2,2015-09-29,2015-09-27,Camelback East,133,PH
"8 Biltmore Est UNIT 213, Phoenix, AZ 85016",3,2,2329,zillow_ph,http://www.zillow.com/homedetails/8-Biltmore-Est-UNIT-213-Phoenix-AZ-85016/82821083_zpid/,-112.019,33.5213,378.92,rental,7250,closed,2,2015-09-30,2015-09-28,Camelback East,133,PH
"1101 E Bethany Home Rd UNIT 23, Phoenix, AZ 85014",2,2,1100,zillow_ph,http://www.zillow.com/homedetails/1101-E-Bethany-Home-Rd-UNIT-23-Phoenix-AZ-85014/7799906_zpid/,-112.058,33.523,358.012,rental,1175,open,,,2015-09-28,Camelback East,133,PH
"815 E Rose Ln UNIT 111, Phoenix, AZ 85014",2,2,1102,zillow_ph,http://www.zillow.com/homedetails/815-E-Rose-Ln-UNIT-111-Phoenix-AZ-85014/88795152_zpid/,-112.063,33.5267,357.108,rental,1395,closed,2,2015-09-30,2015-09-28,Camelback East,133,PH
"2102 E Solano Dr, Phoenix, AZ 85016",4,3,2212,zillow_ph,http://www.zillow.com/homedetails/2102-E-Solano-Dr-Phoenix-AZ-85016/7808676_zpid/,-112.036,33.5218,366.644,rental,2995,open,,,2015-09-28,Camelback East,133,PH
"N 32nd St Phoenix, AZ 85018",2,2,1400,zillow_ph,http://www.zillow.com/homedetails/N-32nd-St-Phoenix-AZ-85018/2100997626_zpid/,-112.013,33.5048,366.439,rental,1350,closed,2,2015-09-30,2015-09-28,Camelback East,133,PH
"3139 E Claremont Ave, Phoenix, AZ 85016",4,4,2644,zillow_ph,http://www.zillow.com/homedetails/3139-E-Claremont-Ave-Phoenix-AZ-85016/7810257_zpid/,-112.016,33.5259,395.302,rental,3200,open,,,2015-09-29,Camelback East,133,PH
"5219 N 24th St APT 207, Phoenix, AZ 85016",1,1,856,zillow_ph,http://www.zillow.com/homedetails/5219-N-24th-St-APT-207-Phoenix-AZ-85016/7809815_zpid/,-112.027,33.5126,361.791,rental,900,open,,,2015-09-29,Camelback East,133,PH
"4020 E Glenrosa Ave, Phoenix, AZ 85018",3,2,1646,zillow_ph,http://www.zillow.com/homedetails/4020-E-Glenrosa-Ave-Phoenix-AZ-85018/7836181_zpid/,-111.994,33.4989,373.202,rental,1750,open,,,2015-09-29,Camelback East,133,PH
"4808 N 24th St UNIT 523, Phoenix, AZ 85016",2,2,1211,zillow_ph,http://www.zillow.com/homedetails/4808-N-24th-St-UNIT-523-Phoenix-AZ-85016/67790393_zpid/,-112.031,33.5079,356.805,rental,1995,closed,2,2015-10-01,2015-09-29,Camelback East,133,PH
"820 E Maryland Ave APT 7, Phoenix, AZ 85014",2,2,1000,zillow_ph,http://www.zillow.com/homedetails/820-E-Maryland-Ave-APT-7-Phoenix-AZ-85014/2100985770_zpid/,-112.062,33.5314,360.87,rental,675,closed,2,2015-10-01,2015-09-29,Camelback East,133,PH
"4336 N 24th St, Phoenix, AZ 85016",3,2,1627,zillow_ph,http://www.zillow.com/homedetails/4336-N-24th-St-Phoenix-AZ-85016/7804922_zpid/,-112.031,33.4998,355.183,rental,1350,open,,,2015-09-29,Camelback East,133,PH
"3949 E Earll Dr APT 8, Phoenix, AZ 85018",1,1,500,zillow_ph,http://www.zillow.com/homedetails/3949-E-Earll-Dr-APT-8-Phoenix-AZ-85018/2100989290_zpid/,-111.996,33.4839,361.819,rental,595,closed,2,2015-10-01,2015-09-29,Camelback East,133,PH
"2507 N 29th Pl, Phoenix, AZ 85008",2,2,1236,zillow_ph,http://www.zillow.com/homedetails/2507-N-29th-Pl-Phoenix-AZ-85008/7542881_zpid/,-112.018,33.4752,349.466,rental,985,open,,,2015-09-30,Camelback East,133,PH
"909 E Camelback Rd UNIT 3115, Phoenix, AZ 85014",1,1,781,zillow_ph,http://www.zillow.com/homedetails/909-E-Camelback-Rd-UNIT-3115-Phoenix-AZ-85014/68535074_zpid/,-112.061,33.5089,347.347,rental,925,closed,3,2015-10-03,2015-09-30,Camelback East,133,PH
"3234 N 38th St APT 7, Phoenix, AZ 85018",2,2,1000,zillow_ph,http://www.zillow.com/homedetails/3234-N-38th-St-APT-7-Phoenix-AZ-85018/2123701433_zpid/,-112.0,33.4872,362.984,rental,1300,closed,3,2015-10-03,2015-09-30,Camelback East,133,PH
"3949 E Earll Dr, Phoenix, AZ 85018",1,1,500,zillow_ph,http://www.zillow.com/homedetails/3949-E-Earll-Dr-Phoenix-AZ-85018/2140216610_zpid/,-111.996,33.4839,361.819,rental,595,closed,3,2015-10-03,2015-09-30,Camelback East,133,PH
