property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
20751,"4548 W Villa Theresa Dr, Glendale, AZ 85308",3,2,2620,zillow_ph,http://www.zillow.com/homedetails/4548-W-Villa-Theresa-Dr-Glendale-AZ-85308/7949089_zpid/,-112.158,33.654,397.719,1979,0,1,,,91454,rental,1599,closed,49,2016-02-28,2016-01-10,Deer Valley,307,PH
20755,"4907 W Marco Polo Rd, Glendale, AZ 85308",3,2,1543,zillow_ph,http://www.zillow.com/homedetails/4907-W-Marco-Polo-Rd-Glendale-AZ-85308/7938259_zpid/,-112.166,33.6661,398.757,1996,1,1,,,91472,rental,1150,closed,26,2016-02-08,2016-01-13,Deer Valley,307,PH
20756,"4907 W Morrow Dr, Glendale, AZ 85308",3,2,1310,zillow_ph,http://www.zillow.com/homedetails/4907-W-Morrow-Dr-Glendale-AZ-85308/7939668_zpid/,-112.167,33.6563,395.486,1984,1,1,,,91474,rental,1100,closed,31,2016-02-15,2016-01-15,Deer Valley,307,PH
20758,"4918 W Tonto Rd, Glendale, AZ 85308",3,2,1593,zillow_ph,http://www.zillow.com/homedetails/4918-W-Tonto-Rd-Glendale-AZ-85308/7938013_zpid/,-112.166,33.6652,397.607,1994,0,1,,,91484,rental,1150,closed,59,2013-11-13,2013-09-15,Deer Valley,307,PH
20762,"4951 W Mindy Ln, Glendale, AZ 85308",3,3,1766,zillow_ph,http://www.zillow.com/homedetails/4951-W-Mindy-Ln-Glendale-AZ-85308/7949774_zpid/,-112.167,33.6511,393.117,1997,0,1,,,91504,rental,1250,closed,35,2015-08-30,2015-07-26,Deer Valley,307,PH
20765,"5030 W Parsons Rd, Phoenix, AZ 85083",0,0,3708,zillow_ph,http://www.zillow.com/homedetails/5030-W-Parsons-Rd-Phoenix-AZ-85083/81990867_zpid/,-112.171,33.72,442.081,2006,0,1,,,91514,rental,2395,closed,6,2015-05-23,2015-05-17,Deer Valley,307,PH
20765,"5030 W Parsons Rd, Phoenix, AZ 85083",0,0,3708,zillow_ph,http://www.zillow.com/homedetails/5030-W-Parsons-Rd-Phoenix-AZ-85083/81990867_zpid/,-112.171,33.72,442.081,2006,0,1,,,91515,rental,2550,closed,53,2016-02-08,2015-12-17,Deer Valley,307,PH
20765,"5030 W Parsons Rd, Phoenix, AZ 85083",0,0,3708,zillow_ph,http://www.zillow.com/homedetails/5030-W-Parsons-Rd-Phoenix-AZ-85083/81990867_zpid/,-112.171,33.72,442.081,2006,0,1,,,106260,rental,2550,closed,,2016-02-10,,Deer Valley,307,PH
20770,"5123 W Headstall Trl, Phoenix, AZ 85083",4,3,3638,zillow_ph,http://www.zillow.com/homedetails/5123-W-Headstall-Trl-Phoenix-AZ-85083/71606798_zpid/,-112.172,33.715,436.818,2005,0,1,,,91538,rental,1995,closed,944,2016-02-11,2013-07-12,Deer Valley,307,PH
20770,"5123 W Headstall Trl, Phoenix, AZ 85083",4,3,3638,zillow_ph,http://www.zillow.com/homedetails/5123-W-Headstall-Trl-Phoenix-AZ-85083/71606798_zpid/,-112.172,33.715,436.818,2005,0,1,,,91539,rental,1995,closed,3,2016-01-20,2016-01-17,Deer Valley,307,PH
