id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
91,997 14th Street,1,1,600,climbsf_rented,http://www.climbsf.com/for-rent/997-14th-st/,-122.435,37.7672,72.7381,,,1,,0.00256125,91,rental,2700,closed,,2013-09-16,,Duboce Triangle,15,SF
92,325 Berry Street #701,2,2,1903,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-701/,-122.396,37.7736,2.45283,,,7,,0.0324236,92,rental,6500,closed,,2013-09-18,,South Beach,74,SF
93,1160 Mission Street #1611,1,1,765,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-1611/,-122.412,37.7784,12.0417,,,16,,0.0188351,93,rental,3150,closed,,2013-09-18,,South of Market,75,SF
94,403 Main Street #416,1,1,900,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-416/,-122.39,37.7881,6.86612,,,4,,0.0361166,94,rental,3500,closed,,2013-09-26,,South Beach,74,SF
95,325 Berry Street #614,1,1,680,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-614/,-122.396,37.7736,2.45283,,,6,,0.0324236,95,rental,3350,closed,,2013-09-27,,South Beach,74,SF
96,301 Main Street #6B,2,2,1793,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-6b/,-122.391,37.7894,4.83899e-05,,,6,1,0.0350366,96,rental,6600,closed,,2013-10-01,,South Beach,74,SF
97,219 Brannan Street #7E,2,2,1116,climbsf_rented,http://www.climbsf.com/for-rent/219-brannan-st-7e/,-122.39,37.783,4.0227,,,7,1,0.0368782,97,rental,5200,closed,,2013-10-15,,South Beach,74,SF
,900 Bush Street #410,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/900-bush-st-410/,-122.413,37.79,62.3965,,,4,1,0.0130384,98,rental,2100,closed,,2013-10-22,,Downtown,14,SF
99,723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,37.7343,37.6665,,,1,,0.00401123,99,rental,3450,closed,,2013-10-22,,Bernal Heights,5,SF
100,1921 Jefferson Street #302,1,1,550,climbsf_rented,http://www.climbsf.com/for-rent/1921-jefferson-st-302/,-122.444,37.8044,6.60398,,,3,,0.00305941,100,rental,2600,closed,,2013-10-29,,Marina,43,SF
,338 Spear Street #21G,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-21g/,-122.391,37.7894,0.0,,,21,,0.0350366,101,rental,0,closed,,2013-11-19,,South Beach,74,SF
,26 Waldo Alley,1,1,620,climbsf_rented,http://www.climbsf.com/for-rent/26-waldo-alley/,-122.417,37.797,70.3667,,,1,,0.0100623,102,rental,0,closed,,2013-11-19,,Russian Hill,70,SF
103,555 4th Street #417,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-417/,-122.397,37.7791,3.09988,,,4,,0.0313466,103,rental,4000,closed,,2013-11-19,,South Beach,74,SF
104,18 Lansing Street #201,2,2,1173,climbsf_rented,http://www.climbsf.com/for-rent/18-lansing-st-201/,-122.394,37.7864,23.0383,,,2,,0.0323289,104,rental,3700,closed,,2013-11-25,,South Beach,74,SF
105,318 Spear Street #5C,1,1,842,climbsf_rented,http://www.climbsf.com/for-rent/318-spear-st-5c/,-122.391,37.7897,0.0,,,5,,0.0350241,105,rental,3700,closed,,2013-11-25,,South Beach,74,SF
,501 Beale Street #8D,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/501-beale-st-8d/,-122.389,37.7863,2.86181,,,8,1,0.0372973,106,rental,5600,closed,,2013-11-26,,South Beach,74,SF
107,301 Mission Street #701,2,2,1955,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-701/,-122.396,37.7905,0.0,,,7,1,0.0300042,107,rental,7400,closed,,2013-12-11,,Yerba Buena,19,SF
,425 1st Street #3503,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3503/,-122.392,37.7858,31.017,,,35,1,0.0343953,108,rental,5500,closed,,2013-12-12,,South Beach,74,SF
109,325 Berry Street #506,1,1,883,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-506/,-122.396,37.7736,2.45283,,,5,,0.0324236,109,rental,3300,closed,,2013-12-16,,South Beach,74,SF
,425 1st Street #3704,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3704/,-122.392,37.7858,31.017,,,37,1,0.0343953,110,rental,3300,closed,,2013-12-16,,South Beach,74,SF
,425 1st Street #4501,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-4501/,-122.392,37.7858,31.017,,,45,1,0.0343953,111,rental,4000,closed,,2013-12-18,,South Beach,74,SF
,657 26th Avenue,2,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/657-26th-ave/,-122.486,37.7771,58.5165,,,1,,0.00501597,112,rental,3700,closed,-688,2013-12-26,2015-11-14,Central Richmond,7,SF
113,2125 Bryant Street #102,2,2,1311,climbsf_rented,http://www.climbsf.com/for-rent/2125-bryant-st-102/,-122.41,37.7593,6.89281,,,1,1,0.0153379,113,rental,5300,closed,,2013-12-17,,Inner Mission,33,SF
114,49 Zoe Street #4,1,1,960,climbsf_rented,http://www.climbsf.com/for-rent/49-zoe-st-4/,-122.396,37.7801,4.80433,,,1,,0.0319188,114,rental,3500,closed,,2013-12-26,,South Beach,74,SF
115,74 New Montgomery Street #515,1,1,824,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-st-515/,-122.401,37.7875,7.64144,,,5,1,0.0252438,115,rental,3700,closed,,2013-12-26,,Yerba Buena,19,SF
116,66 Cleary Court #306,3,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/66-cleary-ct-306/,-122.427,37.7842,57.8952,,,3,,0.00670522,116,rental,4400,closed,,2013-12-31,,Western Addition,83,SF
,1940 Stockton Street #104,2,2,1363,climbsf_rented,http://www.climbsf.com/for-rent/1940-stockton-st-104/,-122.41,37.8038,26.2203,,,1,,0.019588,117,rental,0,closed,,2014-01-06,,North Beach,54,SF
118,250 King Street #536,1,1,714,climbsf_rented,http://www.climbsf.com/for-rent/250-king-st-536/,-122.393,37.7782,5.82981,,,5,1,0.0353955,118,rental,2975,closed,,2014-01-07,,South Beach,74,SF
119,373 Green Street,1,1,800,climbsf_rented,http://www.climbsf.com/for-rent/373-green-st/,-122.405,37.8,58.6566,,,1,,0.0222991,119,rental,3200,closed,,2014-01-10,,Telegraph Hill,78,SF
120,970 Duncan Street #304F,2,2,1175,climbsf_rented,http://www.climbsf.com/for-rent/970-duncan-st-304f/,-122.442,37.7454,187.545,,,30,,0.0014,120,rental,3300,closed,,2014-01-13,,Diamond Heights,13,SF
121,650 Turk Street #501,1,1,789,climbsf_rented,http://www.climbsf.com/for-rent/650-turk-st-501/,-122.42,37.7824,28.6855,,,5,,0.0104862,121,rental,2950,closed,,2014-01-20,,Van Ness/Civic Center,80,SF
122,425 1st Street #3305,1,1,705,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-street-3305/,-122.392,37.7858,31.017,,,33,1,0.0343953,122,rental,3300,closed,,2014-01-22,,South Beach,74,SF
123,333 Main Street #4C,1,1,842,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-4c/,-122.391,37.789,1.80794,,,4,,0.0350571,123,rental,3300,closed,,2014-01-28,,South Beach,74,SF
124,501 Beale Street #4D,1,1,759,climbsf_rented,http://www.climbsf.com/for-rent/501-beale-st-4d/,-122.389,37.7863,2.86181,,,4,1,0.0372973,124,rental,3800,closed,,2014-01-28,,South Beach,74,SF
125,1160 Mission Street #901,2,2,1184,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-901/,-122.412,37.7784,12.0417,,,9,,0.0188351,125,rental,4450,closed,,2014-01-28,,South of Market,75,SF
126,374 27th Avenue,2,1,1350,climbsf_rented,http://www.climbsf.com/for-rent/374-27th-ave/,-122.487,37.7824,49.1082,,,1,,0.0060407,126,rental,3900,closed,,2014-01-29,,Central Richmond,7,SF
127,403 Main Street #515,2,2,1207,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-515/,-122.39,37.7881,6.86612,,,5,,0.0361166,127,rental,4150,closed,,2014-02-03,,South Beach,74,SF
128,200 Brannan Street #314,1,1,732,climbsf_rented,http://www.climbsf.com/for-rent/200-brannan-st-314/,-122.391,37.7836,5.39577,,,3,1,0.0357737,128,rental,3500,closed,,2014-02-05,,South Beach,74,SF
129,301 Main Street #25E,2,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-25e/,-122.391,37.7894,4.83899e-05,,,25,1,0.0350366,129,rental,5800,closed,,2014-02-12,,South Beach,74,SF
130,425 1st Street #1608,1,1,755,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-1608/,-122.392,37.7858,31.017,,,16,1,0.0343953,130,rental,3800,closed,,2014-02-14,,South Beach,74,SF
,1600 Webster Street #308,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/1600-webster-st-308/,-122.431,37.7854,42.4765,,,3,,0.00557136,131,rental,3200,closed,,2014-02-18,,Lower Pacific Heights,42,SF
,435 China Basin Street #634,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-634/,-122.389,37.7716,1.8728,,,6,,0.0354013,132,rental,5475,closed,,2014-02-18,,Mission Bay,48,SF
